Page ID,Page name,Disclaimer,Amount spent (EUR)
1541194342776324,Pohjanmaan Kokoomusnaiset ry,Pohjanmaan Kokoomusnaiset ry,≤100
113398820097,Pelastakaa Lapset,Pelastakaa Lapset ry,≤100
119054448115588,WWF Suomi,WWF Suomi,≤100
113198351631253,Jussi-Matti Hilli - Poliitikko,Jussi-Matti Kalevi Hilli,≤100
105221249149693,Terhi Päivärinta eduskuntaan 2023 SDP,Terhi Päivärinta eduskuntaan 2023 SDP,≤100
803386486399268,Christoffer Ingo,Christoffer Ingo,≤100
101180625252827,Marcus Toppari,Marcus Toppari,≤100
530396980791609,Ett framgångsrikt Österbotten r.f,Ett framgångsrikt Österbotten r.f,≤100
144929502245831,Sosiaalialan korkeakoulutettujen ammattijärjestö Talentia ry,Sosiaalialan korkeakoulutettujen ammattijärjestö Talentia ry,≤100
128816413815084,Vihreät Naiset ry,Vihreät naiset ry,≤100
611918802206111,Rannikko-Pohjanmaan vihreät ry / De gröna i Kustösterbotten rf.,Rannikko-Pohjanmaan vihreät ry / De gröna i Kustösterbotten rf.,≤100
229433767936563,Lääkärit Ilman Rajoja,Lääkärit Ilman Rajoja,≤100
110232881121159,Frans Villanen,Frans Alexander Villanen,≤100
115745171909257,Laura Ala-Kokko,Mikko Muilu,≤100
141772896580,Kauppa.fi - Kaupan liitto,Kaupan liitto,≤100
158714567520876,Janne Sankelo - kansanedustaja,Janne Sankelo,≤100
1663588657266361,Binga Tupamäki,Binga Tupamäki,≤100
227075896125,Paula Risikko,Paula Risikko,≤100
334608399882600,Olli Immonen,Olli Juhani Immonen,≤100
129082145514,Sari Essayah,Sari Miriam Essayah,≤100
106345809037654,Harri Seppälä - Voimme tehdä tekoja,Harri Seppälä,≤100
176678846392107,Tankesmedjan Agenda - Ajatushautomo Agenda,Tankesmedjan Agenda Ajatushautomo,≤100
170559451901,Yle,Yleisradio Oy,≤100
1480877175509481,Tuomas Ojajärvi,Tuomas Ojajärvi,≤100
897371603607419,Lotta Alhonnoro,Alhonnoro Lotta Isabella,≤100
151786398703,Palvelualojen ammattiliitto PAM ry,Palvelualojen ammattiliitto PAM,≤100
1435099906540177,Poliitikko Niina Behm,Niina Johanna Behm,≤100
108272845068399,Henna Helmi Heinonen - politiikan seikkailija,Henna Helmi Inkeri Heinonen,≤100
118031212433,Animalia,Animalia ry,≤100
153374888023578,Fingo - Suomalaiset kehitysjärjestöt,Fingo - Suomalaiset kehitysjärjestöt,≤100
254403722807,BirdLife Suomi,BirdLife Suomi,≤100
1653935188242736,"Timo Viitanen, poliitikko",Merja Viitanen,≤100
219519979404980,Kaustisen sosialidemokraatit,Annika Timonen,≤100
9227859351,Greenpeace Suomi,Greenpeace Suomi,≤100
1566987606884915,Metsä palvelee,Metsäliitto Osuuskunta,≤100
172659206933,Svensk Ungdom - RKP-nuoret,Svensk Ungdom - RKP-nuoret,≤100
235088500684903,Jari Kinnunen,Jari Kinnunen,≤100
185185654914668,KD  Svenska organisationen,Kristdemokraternas Svenska Organisation rf,≤100
335044340406795,Anni Teerikangas Vihreät,Anni Teerikangas,≤100
102836968654308,Sosiaalivakuutus,Kela,≤100
1631165890489545,Gasum,Gasum Oy,≤100
113545734932073,Marja Lindberg SFP RKP,Marja Lindberg SFP RKP,≤100
104413045739984,Heli Rämäkkö,Heli Irmeli Rämäkkö,≤100
388661630444,Svenska Kvinnoförbundet,Svenska Kvinnoförbundet,≤100
146952198665788,Tytti Tuppurainen,Tytti Tuppurainen,≤100
1031256247077382,Petri Juurakko eduskuntavaaliehdokas 2023 Vaasan vaalipiiri,Erja Gadd,≤100
777815458972138,Joakim Strand,Matias Toukonen,≤100
291699857688,EPP Group in the European Parliament,EPP Group in the European Parliament,≤100
202623459911741,Kansalaisopistot,Kansalaisopistojen liitto KoL – Medborgarinstitutens förbund MiF ry,≤100
111005869699,Kirkon Ulkomaanapu,Kirkon Ulkomaanapu,≤100
260320667414347,Maria Ohisalo,Maria Ohisalo,≤100
362064961211,Vihreät nuoret,Vihreiden nuorten ja opiskelijoiden liitto ry,≤100
271311152007,Plan International Suomi,Plan International Suomi,≤100
1515348818739827,Pasi Kivisaari kansanedustaja,Pasi Kivisaari,≤100
104928352444344,Jasmin Granholm,Jasmin Maria Henrietta Granholm,≤100
147282008634632,Demarinuoret - Sosialidemokraattiset Nuoret ry,Demarinuoret - Sosialidemokraattiset Nuoret ry,≤100
110264975003175,Pasi Keskinen eduskuntaan,Teemu Knuutti,≤100
360860753953531,Fortum,Fortum Suomi,≤100
116994711270296,Rami Aalto,Rami Aalto,≤100
261929353938587,Elinkeinoelämän keskusliitto EK,Elinkeinoelämän keskusliitto,≤100
234054383723022,Jenni Kuisti - Vihreät,Jenni Kuisti,≤100
386964478028420,Neste Bensis,Neste Oyj,≤100
73631194779,Viite - Tieteen ja teknologian vihreät,Viite - Tieteen ja teknologian vihreät,≤100
340779380047743,Roy Pietilä,Roy Pietilä,≤100
129144617101783,Mikko Savola,Susanna Laitila,≤100
100570802983023,,Timo Petteri Lehtola,≤100
