Page ID,Page name,Disclaimer,Amount spent (ILS)
116563891775107,עיריית פתח תקווה,עיריית פתח תקוה,≤100
290003511833151,נאור שירי - Naor Shiri,נאור שירי - Naor Shiri,≤100
103085619445870,ניר ברכיה משרד עורכי דין,ניר ברכיה משרד עורכי דין,≤100
399925850154841,מרכז ישיבות ואולפנות בני עקיבא,מרכז ישיבות ואולפנות בני עקיבא,≤100
723141737847411,ראובן לדיאנסקי,ראובן לדיאנסקי,≤100
225859937576032,הליגה נגד השמצה - ישראל,הליגה נגד השמצה בישראל,≤100
271404389601060,Yaakov Hagoel - יעקב חגואל,Yaakov Hagoel - יעקב חגואל,≤100
114497231906750,רן קוניק העמוד הרשמי,רן קוניק העמוד הרשמי,≤100
112210295510027,World Zionist Organization - ההסתדרות הציונית העולמית,ההסתדרות הציונית העולמית,≤100
101189206302646,"עמית אדר - עו""ד הסדרי חובות, פשיטת רגל, חדלות פירעון",These ads ran without a disclaimer,≤100
104783631865965,תלם,קרן ברל כצנלסון,≤100
161804953943328,Яир Лапид,יש עתיד - בראשות יאיר לפיד,≤100
109866420817770,NWS,חדשות NWS,≤100
94762908662,נעמת - תנועת הנשים של ישראל,נעמת | Women @ Work,≤100
100150135880863,תכלית - המכון למדיניות ישראלית,Tachlith,≤100
115755304767435,אושר שקלים - Osher Shkalim,אושר שקלים - Osher Shkalim,≤100
102396379571730,בן נשר,מעשים טובים,≤100
392866501469954,"נטו מוצקין, זה רק - נטו מוצקין","נטו מוצקין, זה רק - נטו מוצקין",≤100
501512673192146,Авигдор Либерман,ישראל ביתנו,≤100
134896023193138,יוזמת ז'נבה,"ח.ל חינוך לשלום בע""מ (יוזמת ז'נבה)",≤100
191738340912361,Taub Center - מרכז טאוב,מרכז טאוב לחקר המדיניות החברתית בישראל,≤100
174270389949755,ישראל גנץ - Israel Ganz,ישראל גנץ - Israel Ganz,≤100
452342168247343,יוחנן פלסנר - Yohanan Plesner,המכון הישראלי לדמוקרטיה,≤100
1244297295663794,שלמה נאמן - Shlomo Neeman,שלמה נאמן - Shlomo Neeman,≤100
114869678131807,משמר החינוך הממלכתי,משמר החינוך,≤100
1413508632231171,המכון הישראלי לאנרגיה ולסביבה,המכון הישראלי לאנרגיה ולסביבה,≤100
421210797920379,מועצה אזורית בנימין,מועצה אזורית בנימין,≤100
117303134655251,שכונת קרני רמון,שכונת קרני רמון,≤100
101614785409781,Роман Соколов     Roman Sokolov,מפלגת כוח אזרחי,≤100
102130312025727,נירה שפק - Nira Shpak,נירה שפק - Nira Shpak,≤100
104728241521436,האגודה לתרבות הדיור,האגודה לתרבות הדיור,≤100
112453045545484,"עו""ד עדי וייס - רשלנות רפואית",These ads ran without a disclaimer,≤100
1915868198652314,האם ראית את האופק לאחרונה?,האם ראית את האופק לאחרונה?,≤100
102036005190785,Logivote - הפתרון השלם למערכת ניהול קמפיינים ובחירות דיגיטליות,LogiVote,≤100
108449188226947,עילם הבית של המוסיקאים,עילם,≤100
100185971057,מכון משגב לביטחון לאומי ולאסטרטגיה ציונית,מכון משגב לאסטרטגיה ציונית ולביטחון לאומי,≤100
548633762006156,השילוח - כתב עת ישראלי להגות ומדיניות - Hashiloach,השילוח - כתב עת ישראלי להגות ומדיניות - Hashiloach,≤100
224562257709477,דניאל (דני) עטר,דניאל (דני) עטר,≤100
103185328887035,דניאל ליזרוביץ',דניאל ליזרוביץ',≤100
