Page ID,Page name,Disclaimer,Amount spent (MXN)
103146715098739,Jaime Acevedo,INGENIO,229
108176578917695,El Bienestar de México,Julio Rodríguez,228
237864063327789,ENGIE México,Jesus Aumary Martinez Perea,227
105071185090292,Vecinos coacalco,Brocca,222
112258358404104,Público,Público,216
102571299059219,Centro de Desarrollo y Actualización de Competencias,Joaquin Tovilla Lopez,215
187575292021954,El Rincón Político,El Rincón Político,210
454013577974506,IEEM Oficial,IEEM Oficial,210
115692301140359,Brocca,Brocca Comunicación Política,208
118921468203786,Movimiento Ciudadano,Movimiento Ciudadano,201
104065375986923,La Politigrería,Antonio Jair Diaz Calderon,201
203132936827485,Preparatoria con un Solo Examen en Tijuana,EducaTijuana,200
108819392526809,Partido Acción Nacional,Partido Acción Nacional,198
103218675671034,La Audiencia,Jorge Alberto Garcia Gomez,195
104570837902035,Paco Santos,STREAMING AND NETWORK VISION MEXICO,193
1659302840958696,Vota por Ti,Vota por Ti,191
1624591081124413,Cuestión de Polémica,Cuestión de Polémica,191
112507801521278,VEMO,VEMO,184
108094781915171,Reinforma Noticias,Reinforma Noticias,183
1545555582174942,TResearch,TResearch,156
1415863341806268,DMC - Music Center,CENTRO DE ENCUENTRO ARTÍSTICO DMC A.C.,146
766097073421954,Diario Puntual México,Victoria Arleth Pineda Vilchis,146
107652783975551,CS Medicina Estética,CS Medicina Estética,145
102107279495045,Las netas,LASNETAS.ORG,145
102268952205344,Noticias México,Kimberley Lisset Martinez Alanis,143
101517436136014,Americasmobilityofthefuture,Marco Antonio Alvarez Cruz,141
131763133152028,Avanzando el Plan C,Apolo Mayorga Galindo,138
102995548100281,Laura González,Laura Teresa González Hernandez,138
109175599170805,Cuauhtémoc Ochoa Fernández,Cuauhtémoc Ochoa Fernández,137
111024680681758,Universidad Contemporánea de las Américas Frónesis Plantel Ciudad de México,Universidad Contemporánea de las Américas Frónesis Plantel Ciudad de México,136
120923597592109,Hoy Sí Mx,Consejo de la Comunicación,136
379501236155049,Benjamín Alfaro,Benjamín Alfaro,136
115759524751786,Mujeres Con Claudia,Mariana Granados,135
252163911547111,Centro Escolar Euler,These ads ran without a disclaimer,133
351194631568626,Secretaría de Economía Sinaloa,Secretaría de Economía Sinaloa,132
171435049569865,Victor Hugo Romo de Vivar,Victor Hugo Romo De Vivar,131
