Page ID,Page name,Disclaimer,Amount spent (HUF)
106280224056208,Gelencsér Ferenc,Momentum Mozgalom,≤100
644419442322200,Magyar Cetelem Bank,Magyar Cetelem Zrt.,≤100
187280168720178,NE HAGYD,International Organization for Migration (IOM) Hungary,≤100
286146221590937,Direkt36,Direkt36,≤100
105329392508690,Női egészség,These ads ran without a disclaimer,≤100
183723231644096,Szita Károly,Szita Károly,≤100
210242349159177,EU-SOLAR,These ads ran without a disclaimer,≤100
222935035147780,moszkvater.com,moszkvater.com,≤100
348148758663062,Indahouse Hungary,InDaHouse Hungary Egyesület,≤100
127539005484626,Very Important Planet,thevip.hu,≤100
101028767982783,Ne dolgozz ingyen,These ads ran without a disclaimer,≤100
103451705887648,Rolls-Royce Magyarország,These ads ran without a disclaimer,≤100
105357259172624,Női egészség,These ads ran without a disclaimer,≤100
128884360624104,Bóna Zoltán,Bóna Zoltán,≤100
1065713933504228,Új Egyenlőség,Új Egyenlőség,≤100
264210363649459,Élő Norbert,Élő Norbert,≤100
102203505677256,Fenntartható Városok,Fenntartható Közösségek Központja,≤100
115677839807666,Horváth Tibor,Horváth Tibor,≤100
2341539762837341,Vác Város Önkormányzata,Vác Város Önkormányzata,≤100
106392688011307,SolarZone,These ads ran without a disclaimer,≤100
135049793193159,IH Rendezvényközpont,Green Team Event & Marketing Kft.,≤100
344967909393503,Nagy Bálint,Fidesz,≤100
215551471947529,Sajómente,Sajómente,≤100
247563431962015,tiszatajonline.hu,Tiszatájonline.hu szerkesztősége,≤100
270300439972751,Szemlélek,Szemlélek Alapítvány,≤100
18562323874,Élet és Irodalom,Székely János,≤100
202099276507678,24.hu,These ads ran without a disclaimer,≤100
581800425838191,Scruton,Scruton,≤100
221754767906167,Bencsik János - A Tatai medencéért,Bencsik János,≤100
1580121415539445,Terre Spezzate,These ads ran without a disclaimer,≤100
278117815576023,EU Justice and Consumers,These ads ran without a disclaimer,≤100
1422393921386710,Pure Air Zone,These ads ran without a disclaimer,≤100
140556749292891,National Library of Israel,These ads ran without a disclaimer,≤100
21552458050,Wazoku,These ads ran without a disclaimer,≤100
