Page ID,Page name,Disclaimer,Amount spent (SEK),Number of ads in Library
296423575695,Afrikagrupperna,Afrikagrupperna,934,16
153270724787,Amnesty International Sverige,Amnesty International Sverige,908,33
252516142116820,Abir Al-Sahlani,Abir Al-Sahlani,908,2
309283471958,Hyresgästföreningen Region Sydost,Hyresgästföreningen Region Sydost,879,25
547965058654664,MyRight - Empowers people with disabilities,MyRight - Empowers people with disabilities,840,2
266170183550491,Nya Kompisbyrån,Nya Kompisbyrån,784,18
293678655099,Europaparlamentets kontor i Sverige,Europaparlamentets kontor i Sverige,724,4
107898832590939,European Commission,European Commission,722,2
1005361066218702,Norrtåg,Norrtåg,688,1
163305633746125,Karneval förlag,Holviks,651,3
103296115466644,Skattenytta,Kommissionen för Skattenytta,629,7
106579105171694,ETC nyhetsmagasin,ETC Media AB,626,3
208751565805849,Stiftelsen Expo,Stiftelsen Expo,615,3
1531320107133721,Syre,Dagens O2 AB,592,4
1774980969487507,Naturvetenskap vid Göteborgs universitet,Göteborgs universitet,589,2
193309030695120,UR,UR,580,5
412192732132640,ECPAT Sverige,ECPAT Sverige,580,10
237146235237,Timbro,Tankesmedjan Timbro,572,35
212284955495610,Elektrikerna,Elektrikerna,561,7
267640803634611,Moderaterna i Västerbotten,Moderaterna i Västerbotten,561,3
230255653832332,Al-Ayn for Social Care Sweden,Al Ayn For Social Care Sweden,556,4
328754490337,Vårdförbundet,Vårdförbundet,550,29
178193355556765,Nordström Assistans AB,Nordström Assistans AB,538,4
100253435575183,EPHI - Environment and Public Health Institute,Environment and Public Health Institute,523,1
181590825305317,COWI Sverige,COWI Sverige,520,8
387421644643053,Hyresgästföreningen BohusÄlvsborg-Skaraborg,Hyresgästföreningen BohusÄlvsborg-Skaraborg,519,18
200480966638039,Supremacy 1914,These ads ran without a disclaimer,505,2
1402657726653154,Hallå konsument,Konsumentverket,499,4
127063960674693,Svenska Freds- och Skiljedomsföreningen,Svenska Freds- och Skiljedomsföreningen,493,4
23426331389,Linköpings universitet,These ads ran without a disclaimer,490,1
223302541061447,Nema Problema,Nema Problema,483,27
109098320518639,Dogoodel.,DoGood EL,477,6
189699774387238,"Andreas Sturesson, kommunalråd",Kristdemokraterna Jönköpings Kommun,470,1
212604496324,Fackförbundet ST,Fackförbundet ST,470,52
34780126150,Miljöpartiet de gröna,Miljöpartiet de gröna,454,4
320930784643530,Storasyster,Storasyster,434,1
1089666701084947,Timbro förlag,Timbro Förlag,430,3
166406746310,Resumé,Resumé,419,1
2002046333202650,Bli nämndeman,Bli nämndeman,410,5
356032977210,Vi-skogen,Vi-skogen,407,11
112338252157105,Viskadalen,Viskadalen,399,2
198547346848470,Vänsterpartiet Linköping,Holmberg Erik Dennis Tobias,398,1
239855722130,Nyhetsmagasinet Fokus,Fokus,393,7
179931025357058,Kommunal,Kommunal,383,3
539297539496434,Dagens Samhälle,Dagens Samhälle,373,1
314283591054,Byggnads,Byggnads,369,6
126245644082634,Malmömoderaterna,Malmömoderaterna,360,4
273053169937029,ClimateHero,ClimateHero,356,7
147547541961576,Council of the European Union,Council of the European Union,349,8
312084019369,Dagens Medicin,Dagens Medicin,348,1
45101268520,SSU,SSU,340,13
249195615122371,Sara Skyttedal,Sara Skyttedal Dihang,332,1
329938067056917,Socialdemokraterna Halland,Socialdemokraterna,326,1
109609604086656,Vejpkollen.se,Vejpkollen.se,316,4
231632277255213,Jobba Grönt,Lantbrukarnas Riksförbund,301,2
965458110149319,Byggindustrin,Byggindustrin,298,1
506685746198996,DebattNytt,Bror Carl Jakobsson,295,1
397655376946941,Liberalerna Lidingö,Liberalerna Lidingö,293,2
175873745789190,Vänsterpartiet Göteborg,Vänsterpartiet Göteborg,292,13
107104919328517,Miljöpartiet de Gröna i Sundbyberg,Miljöpartiet Sundbyberg,287,2
171732326218384,Handelsanställdas förbund,Handelsanställdas förbund,286,2
237000919761618,Stjärnjouren - Sundbybergs trans- och tjejjour,Hannah Sörbom,276,3
1669486323321422,Lund University Sustainability Forum,Lunds universitet,276,6
111842515680597,Hyresgästföreningen Norrland,Hyresgästföreningen,275,14
24574889995,Charlie Weimers MEP,Charlie Weimers,267,1
381175618637391,Liberalerna Kronoberg,Liberalerna,265,1
103116771609252,Enskilda Högskolan Stockholm - University College Stockholm,Enskilda Högskolan Stockholm,255,2
271560012882635,Svenskt Näringsliv Västra Götaland,Svenskt Näringsliv Västra Götaland,250,10
217391588404948,Katalys,Katalys,249,5
286987014656068,Socialdemokraterna Solna,Socialdemokraterna Solna,242,3
129016447116122,Aktuell Hållbarhet,Aktuell Hållbarhet,241,2
235650011981,SPF Seniorerna,SPF Seniorerna,240,1
61602439009,NCC,NCC,237,3
203547006337155,Göteborgs Stadsmission,Göteborgs Stadsmission,234,2
761381800679159,Peab Asfalt i Sverige,Peab Asfalt AB,229,8
244897208924797,Arbetet,Arbetet,227,1
347852331958080,En Företagares Vardag,En Företagares Vardag,225,4
154887827868890,Sörmlands Sparbank,Sörmlands Sparbank,224,1
104952875797501,Carina Ohlsson,Svenska socialdemokrater i Europaparlamentet,222,1
132934600111301,Skogsstyrelsen,Skogsstyrelsen,221,2
899603916845362,JAG Personlig assistans,JAG Personlig assistans,220,4
128452220525979,CIVIL RIGHTS DEFENDERS,CIVIL RIGHTS DEFENDERS,213,2
261455205686,LRF,LRF,213,4
709317875766999,Judisk Kultur i Sverige,Judisk Kultur i Sverige,208,4
230671826970236,Uppsala konstmuseum,Uppsala kommun,207,16
434357663256684,Student i Vision,Vision,206,3
120216874723147,Svenskt Sigill,Svenskt Sigill,200,18
473182566110689,Inre Kraft - Personlig Assistans & Hemtjänst,Inre Kraft - Personlig Assistans & Hemtjänst,199,2
176527602394716,Olivia Personlig Assistans AB,Olivia Personlig Assistans AB,199,2
115756055102646,Kura Omsorg  i Sverige AB,Kura Omsorg  i Sverige AB,198,2
105832442784541,Ny Generation,Ny Generation,194,5
143140665862271,Moderaterna Umeå,Moderata kretsen Umeå,190,3
100154266829621,Kyrkans Tidning,Kyrkans Tidning,189,1
1495636290691848,Vänsterpartiet Stockholms stad,Vänsterpartiet Stockholm stad,178,6
171485892943500,Socialdemokraterna i Jönköping,Socialdemokraterna i Jönköpings kommun,175,1
964870226927385,Svensk biblioteksförening,Svensk biblioteksförening,173,2
169905029701515,Trollhättans Stad,Trollhättans Stad,172,1
197762513603868,MÄN,MÄN,169,1
153150404966,Moderaterna Skellefteå,Moderaterna Skellefteå,162,2
821885161236997,Vänsterpartiet Centrum Göteborg,Vänsterpartiet Centrum Göteborg,159,2
590736644344351,Svenskt Näringsliv Jönköpings län,Svenskt Näringsliv,156,6
161935043870264,Sverigedemokraterna Eskilstuna,Bertil Mikael Nygren,156,1
390479295816,Socialdemokraterna i Jönköpings län,Socialdemokraterna i Jönköpings län,155,1
624844364247833,Svenskt Näringsliv Värmland,Svenskt Näringsliv Värmland,155,6
154313704727539,Rättighetscentrum Norrbotten - mot diskriminering,Rättighetscentrum Norrbotten,154,1
505186329496364,Aktiv Assistans AB,Aktiv Assistans AB,153,2
1545369075688158,Brottsofferjouren Sverige,Brottsofferjouren Sverige,152,2
342952129133948,Kultur i Malmö,Kultur i Malmö,151,1
1267325956645384,Bonzi,Bonzi,150,2
255288010153,Sida - Styrelsen för Internationellt Utvecklingssamarbete,Sida - Styrelsen för Internationellt Utvecklingssamarbete,149,1
194996370654471,Assistanslotsen,Assistanslotsen,149,2
766962160096580,Vi Omsorg i Sverige AB,Vi Omsorg i Sverige AB,148,2
1715208875382561,OP Assistans,OP Assistans,147,2
1649460475294700,Sverigedemokraterna Uppsala,SD Uppsala,146,1
125440780804852,Childhood,Childhood,145,1
277520678945640,Svenskt Näringsliv Halland,Svenskt Näringsliv,144,5
76847196995,Göteborgs stadsbibliotek,Göteborgs stadsbibliotek,143,3
293679875824,Svenska FN-förbundet,Svenska FN-förbundet,140,2
105051279529106,Kulturhuset Stadsteatern,Kulturhuset Stadsteatern,138,4
184879078767802,School of Global Studies,University of Gothenburg,136,1
132143480932,Nackamoderaterna,Nackamoderaterna,121,2
152085291138,Aktuellt i Politiken,Aktuellt i Politiken,119,1
392491467511470,Peab Bostad,These ads ran without a disclaimer,115,2
433323816696224,Vänsterpartiet Jönköpings län,Vänsterpartiet Jönköpings län,115,1
108568891864407,Sveriges Skolledare,Sveriges Skolledare,115,1
231705333633358,Göteborgs stift Svenska kyrkan,Göteborgs stift Svenska kyrkan,114,2
182933185135,Skogsindustrierna,Skogsindustrierna,112,7
209819466173690,Region Stockholm,Region Stockholm,112,1
324502111021396,Täbymoderaterna,Moderata Samlingspartiet i Täby,111,1
440459709390224,Hitachi Energy,These ads ran without a disclaimer,110,1
108878133830874,Grön flygplats,Projektet Grön Flygplats; finansierat av Svenska Regionala Flygplatser och Europeiska Regionala Utvecklingsfonden,109,6
304506059702034,Tidningen Fönstret,Tidningen Fönstret,108,1
105755296132267,Miljöpartiet de Gröna Ekerö,Miljöpartiet de gröna Ekerö,108,1
118090278221826,Erikshjälpen,Erikshjälpen,108,2
209680479955838,Uppsala brandförsvar,Uppsala kommun,106,1
952465258108367,Sverigedemokraterna Älvkarleby,Sverigedemokraterna Älvkarleby,106,1
1791189177563263,Sverigedemokraterna Södertälje,SD Södertälje/Nykvarn,105,2
191784467622752,Kristdemokraterna Nacka,Martin Gunnesson,105,2
178392422290780,Gratis i skolan,Kunskapskraft & Media Sweden AB (KKM),102,1
234172635050,Forum för levande historia,Forum för levande historia,101,1
1540294046226139,Feministsmeden,Feministsmeden,101,1
273402369438867,By Billgren,By Billgren AB,≤100,2
113710601984970,Barnfonden,Barnfonden,≤100,2
237287320360804,Omtanke.today,Jenny Fors,≤100,3
70208617833,Miljöpartiet de Gröna i Västerbotten,Miljöpartiet de gröna,≤100,1
1177885685706745,Partiet Nyans,Partiet Nyans,≤100,3
229651940519344,Stadsutveckling Stockholm,Stockholms stad,≤100,1
1633181116933852,SvD Junior,SvD Junior (SvD),≤100,8
147672065396607,Sverigedemokraterna Linköping,Dahlqvist Chris,≤100,1
133148933394485,Socialdemokraterna i Malmö,Socialdemokraterna i Malmö,≤100,4
690167674732029,Lena Hallengren,Socialdemokraterna,≤100,5
103953609645359,SCB - Statistiska centralbyrån,Statistiska centralbyrån,≤100,6
308075749348969,Svenskt Näringsliv Kronoberg,Svenskt Näringsliv,≤100,2
313671265509,Tankesmedjan Tiden,Tankesmedjan Tiden,≤100,4
175843834306,WaterAid Sverige,WaterAid Sverige,≤100,4
80386149597,ABF,ABFs förbundsexpedition,≤100,2
439419836148910,Centerpartiet Botkyrka - Grödinge,Alse Dag Lucas,≤100,1
129664437103456,Medicinska fakulteten vid Lunds universitet,Medicinska fakulteten vid Lunds universitet,≤100,2
150453111655854,Folkbildningsrådet,Elin Sundling,≤100,1
137789886310956,Socialdemokraterna Huddinge,Socialdemokraterna Huddinge,≤100,2
786156274854416,Svenskt Näringsliv Jämtland,Svenskt Näringsliv,≤100,1
115795772512,Stadsbiblioteket i Malmö,Stadsbiblioteket i Malmö,≤100,1
1544485135838767,Svenskt Näringsliv Mellansverige,Svenskt Näringsliv Mellansverige,≤100,6
171919835807,TCO,TCO,≤100,2
970101589721702,Josefin Malmqvist,Malmqvist Amanda Josefin Theresia,≤100,1
872493709501005,Svenskt Näringsliv Gävleborg,Svenskt Näringsliv,≤100,5
167494870115948,Moderaterna i Lidköping,Moderaterna Lidköping,≤100,2
304929002856002,Miljöpartiet de gröna i Järfälla,Miljöpartiet de gröna i Järfälla,≤100,11
91818886532,We Effect,We Effect,≤100,2
146593541117,nwt.se,NWT Media AB,≤100,3
103065692733960,Öis,Skövde kommun,≤100,3
253510692370,Arbetaren,Arbetaren,≤100,1
323156205347,Vänsterpartiet,Vänsterpartiet,≤100,2
198991600145434,Svenskt Näringsliv Skåne,Svenskt Näringsliv Skåne,≤100,1
882970465088842,Svenskt Näringsliv Kalmar län,Svenskt Näringsliv,≤100,1
449577235139576,Socialdemokraterna i Ljungby kommun,Anders Tommy Linnér,≤100,1
358016594293864,Socialdemokraterna Ystad,Martensson Hans Inge Marten,≤100,4
1506025182942351,Miljöpartiet de gröna i Malmö,Miljöpartiet i Malmö,≤100,1
183019125106776,Liberalerna Tyresö,Liberalerna Tyresö,≤100,1
150909028299502,Jernkontoret,Jernkontoret,≤100,4
1139097292843761,Kristdemokraterna Göteborg,Miriam Helena Lilja,≤100,1
407290589320311,ABF Örebro län,Mikael Runesson,≤100,3
101320658099429,Renoveringsraseriet,Renoveringsraseriet,≤100,1
105901735400433,Centerpartiet Region Stockholm,Centerpartiet Region Stockholm,≤100,1
120745044633792,Lunds universitet,Lunds universitet,≤100,1
178362315106,European Parliament,European Parliament,≤100,6
239916586060802,Socialdemokraterna i Lerum,Socialdemokraterna i Lerum,≤100,1
133867976608,Naturskyddsföreningen,Naturskyddsföreningen,≤100,1
270611249728504,Miljöpartiet de gröna Kävlinge,Miljöpartiet de gröna Kävlinge,≤100,1
162466473776556,Klimataktion,Klimataktion,≤100,4
94400267368,Jagvillhabostad.nu,jagvillhabostad.nu,≤100,3
268593563268202,Kristdemokraterna Tyresö,Kennerberg Leif Robert,≤100,2
1432591790382295,ByMartinsdotter,By Martinsdotter,≤100,10
970821746431237,Alexandra Anstrell - M,Anstrell Anna Maria Alexandra,≤100,1
150820354221,"DIK - facket för kultur,  kommunikation och kreativ sektor",DIK,≤100,2
150897991607979,Riksförbundet Attention,Riksförbundet Attention,≤100,1
102182565819797,Folktandvården Gävleborg AB,Folktandvården Gävleborg AB,≤100,1
352682608599,Vänsterpartiet Västerås,Vänsterpartiet,≤100,1
1641629709208025,Moderaterna i Nybro,Bernhard Neuman,≤100,1
338366093200,Socialdemokraterna i Luleå,Socialdemokraterna i Luleå,≤100,1
397232950335909,Strängnäspartiet,Strängnäspartiet,≤100,1
111501558543800,Sörmland Lever,Yuri Jhonatan Huerta Silva,≤100,1
833299220056753,Vänsterpartiet Mölndal,Ramberg Stefan Joakim,≤100,1
951217261634608,Naturvårdsverket,Naturvårdsverket,≤100,1
250766161722636,Europa Direkt Halland,Europa Direkt Halland,≤100,2
513322965515580,Socialdemokraterna Kumla,Veronica Ulfgren,≤100,1
107366512646481,Piteå-Tidningen,Norr Media AB,≤100,1
633423966764086,Kungl Krigsvetenskapsakademien,KKrVA,≤100,2
321670347944266,Kristdemokraterna i Dalarna,Kristdemokraterna i Dalarna,≤100,3
106424948513158,Riksorganisationen för fortbildning om Förintelsen,Riksorganisationen för fortbildning för förintelsen,≤100,1
737936546266980,Sverigedemokraterna Järfälla,Sverigedemokraterna Järfälla,≤100,1
101318225686932,Elise Backman Liberalerna,Elise Backman,≤100,1
722853564439941,Gustav Hemming,Centerpartiet Region Stockholm,≤100,1
388037891351308,Kristdemokraterna Haninge,Kristdemokraterna Haninge,≤100,1
287880713020478,Rörelsen,Peter Gustavsson,≤100,5
117137568482377,Europa Direkt Södertälje,Europa Direkt Södertälje,≤100,1
114782395316367,Socialdemokraterna i Västernorrland,Socialdemokraterna i Västernorrland,≤100,1
417957948307359,Socialdemokraterna i Täby,Socialdemokraterna i Täby,≤100,1
1522679411362377,Lighthouse - Swedish Maritime RD&I collaboration platform,Lars Nicklason,≤100,1
496283363842454,Sverigedemokraterna Vänersborg,Sverigedemokraterna Vänersborg,≤100,2
301055809910083,Luleå Energi,Luleå Energi,≤100,1
1909176449301715,Svenskt Näringsliv Stockholms och Gotlands län,Svenskt Näringsliv,≤100,2
112644953916525,Facklig Vänster,Vänsterpartiet,≤100,2
120653037981614,Örebro universitet,Örebro universitet,≤100,1
157426134878218,Bodens kommun,Bodens kommun,≤100,3
473313529459090,Vänsterpartiet Västernorrland,Ulrica Ödebygd,≤100,1
700878769933437,Miljöpartiet de gröna i Kalmar,Miljöpartiet de gröna i Kalmar,≤100,1
1392761717630625,Bokförlaget Korpen,Bokförlaget Korpen,≤100,2
273254886116655,Motargument,Motargument,≤100,1
1440814509476229,Gagnefs kommun,Gagnefs kommun,≤100,2
128274481480,ABF Skåne,ABF Skåne,≤100,1
102453659895245,Moderaterna i Lerum,Moderaterna i Lerum,≤100,1
300948063376744,Uppsala rödakorskrets,Röda Korset Uppsala,≤100,1
557378240957839,RFSU Jönköping,Ulrika Dane Rfsu,≤100,1
104293468972220,Peter Gustavsson Sverigedemokraterna Gislaved,Karl Peter Magnus Gustavsson,≤100,1
330627166973398,Strängnäsvänstern,Vänsterpartiet Strängnäs,≤100,1
118424491641760,Naturskyddsföreningen Väst,Naturskyddsföreningen Väst,≤100,1
100394276688509,Halmstads kommun,Halmstads kommun,≤100,1
165168156799,Göteborgs-Posten,Göteborgs-Posten,≤100,2
289125034540204,Socialdemokraterna Sörmland,Sörmlands socialdemokratiska partidistrikt,≤100,1
237863203023150,Vänsterpartiet Umeå,Vänsterpartiet Umeå,≤100,2
1193671840649194,Vänsterpartiet Lerum,Vänsterpartiet Lerum,≤100,2
773867402653937,Torkild Strandberg,Torkild Strandberg,≤100,1
273249776157066,Vänsterpartiet Solna,Vänsterpartiet Solna,≤100,2
132086976967371,Kristdemokraterna Södertälje,Kristdemokraterna Södertälje,≤100,1
388060467889201,Centerpartiet Södertälje,These ads ran without a disclaimer,≤100,1
635025056686844,Liberalerna Landskrona,Liberalerna Landskrona,≤100,1
323218466904,Kristdemokraterna i Lerum,Miriam Helena Lilja,≤100,1
137064659670161,Vänsterpartiet Uppsala,Vänsterpartiet Uppsala,≤100,1
160210550756111,Huddingemoderaterna,Huddingemoderaterna,≤100,1
1370664169670708,Sara Heelge Vikmång,Socialdemokraterna Huddinge,≤100,1
1230018870391467,Medborgerlig Samling Uppsala,Medborgerlig Samling Uppsala Län,≤100,2
121994325866184,Johan Duvdahl Centerpartiet,Johan Duvdal,≤100,1
109397875805888,Kristdemokratiska Kvinnoförbundet,Kristdemokratiska kvinnoförbundet,≤100,1
125113298313,Centerpartiet i Malmö,Centerpartiet i Malmö,≤100,4
192567580603,Ttela,TTELA,≤100,5
108795227704477,ألوان أوروبا Alwan Europe,ألوان أوروبا Alwan Europe,≤100,3
107889157547905,Nooshi Dadgostar,Vänsterpartiet,≤100,1
699733880123060,Tjejjouren i Lund - en transinkluderande jour,Tjejjouren i Lund,≤100,5
157076904374898,ABF Stockholm,ABF Stockholm,≤100,1
100817216174336,Magnus Hansson,These ads ran without a disclaimer,≤100,1
887305194662637,Axess Magasin & TV,Axess Magasin & TV,≤100,1
104504131846268,Dawit Isaak-biblioteket,Dawit Isaak-biblioteket,≤100,1
245307472160078,Liberalerna i Svalövs kommun,Torbjörn Ekelund,≤100,1
305349186301095,Liberalerna Skellefteå,Soldan Christina,≤100,1
105172765831331,Vafa Sadat Farizani,Vafa Sadat Farizani,≤100,1
1553944598209170,Vänsterpartiet Alingsås,Vänterpartiet Alingsås,≤100,1
209827375704176,Socialdemokraterna i Kristianstad,Socialdemokraterna Kristianstad,≤100,1
841675695959993,Energiföretagen Sverige,These ads ran without a disclaimer,≤100,2
102654346518564,Centerpartiet i Östersund,Centerpartiet i Östersund,≤100,1
299789267022,ABF i Uppsala län,ABF i Uppsala län,≤100,1
108492218918,IF Metall,IF Metall,≤100,7
157878837643147,SSU Gotland,Fanny Maria Andersson,≤100,1
1097619030278107,Moderaterna Lekeberg,Moderaterna Lekeberg,≤100,1
182726910344,Hela Sverige Ska Leva,Hela Sverige Ska Leva,≤100,1
116885691311231,Globаl News,These ads ran without a disclaimer,≤100,1
101257185831267,Ulf Liljankoski - fritidspolitiker,Ulf Aarne Fredrik Hunter Liljankoski,≤100,1
294408695503,Ruffino,These ads ran without a disclaimer,≤100,1
108606768485583,Vuksan Rovčanin,Vuksan Rovcanin,≤100,1
293099781096968,MATtanken,Landsbygdsnätverkets kansli,≤100,1
732887920091032,Vänsterpartiet Helsingborg,Vänsterpartiet Helsingborg,≤100,1
1592395117505407,Näringslivets medieinstitut,Näringslivets Medieinstitut,≤100,1
105074575851109,Reformisterna i Östergötland,Reformisterna i Östergötland,≤100,1
108216678020301,CGH & Jobbfrågan,Svensk Jobbdemokrati,≤100,1
300452580055539,Liberalerna i Vellinge,Liberalerna i Vellinge,≤100,1
17775970938,Cancerfonden,Cancerfonden,≤100,4
788657588008189,Moderaterna i Västerås,Moderata samlingspartiet i Västerås,≤100,1
104760926229060,Uppsala kommun,These ads ran without a disclaimer,≤100,2
164401175915,Centerpartiet i Vallentuna kommun,Centerpartiet i Vallentuna kommun,≤100,1
104315195453398,Ida Drougge - Lidingös riksdagsledamot,Ida Drougge,≤100,1
127624557250669,Miljöpartiet de gröna Gävle,Sabina Rossini,≤100,1
744040148974429,Miljöpartiet de gröna i Katrineholm,Miljöpartiet de gröna i Katrineholm,≤100,1
138449739649621,Synskadades Riksförbund,Synskadades Riksförbund,≤100,1
1416393591927234,Semcon,Semcon,≤100,1
101788562637808,Gina Sonia 194,These ads ran without a disclaimer,≤100,1
447388898659311,Miljöpartiet Norrtälje kommun,Miljöpartiet i Norrtälje kommun,≤100,1
1515014682130067,Folkuniversitetet Syd,Folkuniversitetet,≤100,1
1797724450537743,GoClimate,GoClimate,≤100,1
735108653195373,Vänsterpartiet Haninge,Olofsson Lars-Johan Patrik,≤100,1
159055777444243,Fresh Fruit Portal,These ads ran without a disclaimer,≤100,1
110463704610731,Cute Kiwi,These ads ran without a disclaimer,≤100,1
106649554035261,Caio_Vitor07,These ads ran without a disclaimer,≤100,1
108358524677345,畫啦啦少兒美術,These ads ran without a disclaimer,≤100,1
110647840532680,Merge Mayor,These ads ran without a disclaimer,≤100,1
527351247377965,European Committee of the Regions,European Committee of the Regions,≤100,4
171522852874952,Juventus,These ads ran without a disclaimer,≤100,1
1407800559480010,Hirmer Verlag,These ads ran without a disclaimer,≤100,1
326735954029525,DS Forever Photography,These ads ran without a disclaimer,≤100,1
107865155194550,The Mojo,These ads ran without a disclaimer,≤100,1
