Page ID,Page name,Disclaimer,Amount spent (ILS),Number of ads in Library
140020759367864,הוועד נגד עינויים -  Pcati - اللجنة لمناهضة التعذيب,The Public Committee Against Torture in Israel,196,2
102222958209767,עוזי אהרון,עוזי אהרון,196,2
219236568818575,גלית שאול - ראשת מועצת עמק חפר,גלית שאול - ראשת מועצת עמק חפר,195,9
107110828789769,רוני בריק,רוני בריק,194,1
193264714026809,אמונה - תנועת האישה הדתית לאומית,אמונה - תנועת האישה הדתית לאומית,194,4
390174201363786,Eli Nacht • אלי נכט,Eli Nacht • אלי נכט,188,8
536794249813012,תומר גלאם - Tomer Glam,תומר גלאם - Tomer Glam,188,1
106820492383861,רן מנו,רן מנו,187,1
107107231197546,אלון אזולאי -Alon Azulay,אלון אזולאי -Alon Azulay,187,5
518230731522883,Laura Wharton לורה ורטון,Laura Wharton לורה ורטון,186,5
137449656335533,Amnesty International Israel,Amnesty International Israel,183,7
444832565529651,המכון הישראלי לדמוקרטיה,המכון הישראלי לדמוקרטיה,181,37
1824323844461002,יקיר שינדלר,יקיר שינדלר,177,4
111177802287614,Begin Center | מרכז מורשת מנחם בגין,Begin Center | מרכז מורשת מנחם בגין,176,1
104823549316428,Барак Сери,Barak Seri,176,3
1954699454767994,שי זולדן - Shay Zoldan,שי זולדן,173,5
645460249284616,דינמיקלאס - DynamiClass,DynamiClass,171,1
120728247599577,מירה בן ארי לראשות גן רווה,מירה בן ארי לראשות גן רווה,170,3
103907495935157,צו חירום,צו חירום,168,4
112210295510027,World Zionist Organization - ההסתדרות הציונית העולמית,ההסתדרות הציונית העולמית,168,2
100900832922166,אחים לנשק-לוחמים ולוחמות במסע להצלת הדמוקרטיה,אחים לנשק-לוחמים ולוחמות במסע להצלת הדמוקרטיה,163,4
243941715737870,אורית סטרוק- orit strouk,אורית סטרוק,160,2
102865851897315,ארגון חברות הניקיון בישראל,ארגון חברות הניקיון בישראל,159,1
113065595006048,ענת כנורי לראשות העיר חולון 2023,ענת כנורי לראשות העיר חולון 2023,157,2
155237077282,מגמה ירוקה - Green Course,מגמה ירוקה - Green Course,157,8
124191360932729,התעוררות בירושלים,התעוררות בירושלים,156,5
562315384163994,עדי לוי סקופ לראשות העיר כפר סבא,עדי לוי סקופ לראשות העיר כפר סבא,155,2
936130799779065,עו״ד אלברט טייב בשביל הכפר,עו״ד אלברט טייב בשביל הכפר,152,2
105012199576859,E-srael,E-srael,151,4
162089177185799,התאחדות התעשיינים בישראל,התאחדות התעשיינים בישראל,151,1
124333777706475,עיריית רמלה,עיריית רמלה - העמוד הרשמי,150,4
670447859788515,יניב דרי - מחוברים לתושב,Yaniv Derry,149,8
531891887148785,הראל שהם - Harel shoham,הראל שהם - Harel shoham,146,2
119995701391029,בית בן-גוריון בתל אביב,בית בן גוריון,146,2
103069056049581,שלום ישראל אלבז- shalom israel elbaz,יחסי ציבור,146,6
111464468649829,יששכר מקונן לראשות המועצה האזורית חבל יבנה,יששכר מקונן לראשות המועצה האזורית חבל יבנה,144,4
100726719689553,ליאת גרוסמן תמיר,ליאת גרוסמן תמיר,144,1
107863545666861,"עו""ד נתנאל בן יוסף אחרק",נתנאל אחרק,143,1
502582240109636,שומרי הבית,שומרי הבית,143,2
172680759548006,האקדמית רמת-גן,המכללה האקדמית רמת גן,142,3
179034435458425,פנאי העיר חדרה,פנאי העיר חדרה,140,10
433529446712013,Ayman Odeh - أيمن عودة,Ayman Odeh - أيمن عودة,140,1
276123535874376,משה רווח,משה רווח,140,2
369655989728696,אסף דעבול - Asaf Daabul,אסף דעבול - Asaf Daabul,139,2
287663625305114,ניר בן חיים - Nir Ben Haim,ניר בן חיים - Nir Ben Haim,139,4
320332825403620,מסורת שומרים על האמונה - יקנעם,מסורת שומרים על האמונה - יקנעם,137,4
172654247853282,Shenhav musanbar,Shenhav musanbar,135,3
101783656248845,صفحة السيد سامي عيسى الرسمية مرشح لرئاسة بلدية كفرقاسم,صفحة السيد سامي عيسى الرسمية مرشح لرئاسة بلدية كفرقاسم,135,1
1029616787159895,יהודה דואה - הבחירה הנכונה לראשות המועצה,יהודה דואה - הבחירה הנכונה לראשות המועצה,133,6
198917210119704,שלום עכשיו,שלום עכשיו,131,4
1616620351898508,Адвокат Варша • Иммиграция • Рабочая виза в Израиле • Воссоединение семьи,"משרד עו""ד תומר ורשה",130,4
120219177648236,רוח חדשה ברמלה - בראשות רותם כהן כחלון,רוח חדשה ברמלה - בראשות רותם כהן כחלון,127,2
315149999091604,אביש שלמה לראשות מועצה אזורית מנשה,אביש שלמה לראשות מועצה אזורית מנשה,127,4
116962614744041,גדי ירקוני לראשות המועצה האזורית אשכול,גדי ירקוני,126,1
192242644687256,גל לנצ'נר חבר המועצה בגבעת שמואל,גל לנצ'נר חבר המועצה בגבעת שמואל,125,1
115977008140294,דודיק שטרית - לראשות העיר טבריה,דודיק שטרית - לראשות העיר טבריה,123,4
1913755198907011,"המרכז הרפואי לטיפול בהשמנה - ד""ר רז",המרכז הרפואי לטיפול בהשמנה,120,1
548633762006156,השילוח - כתב עת ישראלי להגות ומדיניות - Hashiloach,השילוח - כתב עת ישראלי להגות ומדיניות - Hashiloach,118,13
