Page ID,Page name,Disclaimer,Amount spent (SEK),Number of ads in Library
133681391993,Socialdemokraterna i Göteborg,Socialdemokraterna i Göteborg,1452,5
153028052500,Kvinna till Kvinna,Stiftelsen Kvinna till Kvinna,1394,4
42676805259,Diakonia,Diakonia,1392,14
175843834306,WaterAid Sverige,WaterAid Sverige,1362,10
115212521895994,Vattenfall Eldistribution AB,Vattenfall Eldistribution AB,1336,4
107898832590939,European Commission,European Commission,1324,4
155824787799,EU-kommissionen i Sverige,EU-kommissionen i Sverige,1292,3
276108117859,Svenska Afghanistankommittén,Svenska Afghanistankommittén,1191,30
237146235237,Timbro,Tankesmedjan Timbro,1169,36
12690894340,Centerpartiet,Centerpartiet,1160,24
118090278221826,Erikshjälpen,Erikshjälpen,1149,5
8040892957,Socialdemokraterna,Socialdemokraterna,1096,7
103296115466644,Skattenytta,Kommissionen för Skattenytta,1070,9
252516142116820,Abir Al-Sahlani,Abir Al-Sahlani,1022,2
72832167834,Skattebetalarnas Förening,Skattebetalarnas Förening,1002,29
203547006337155,Göteborgs Stadsmission,Göteborgs Stadsmission,972,4
157164123601,Trafikverket,Trafikverket,956,1
239855722130,Nyhetsmagasinet Fokus,Fokus,917,12
129853960408496,Socialdemokraterna Östergötland,Ellen Aguirre,903,1
181590825305317,COWI Sverige,COWI Sverige,882,13
261455205686,LRF,LRF,840,2
109969847586061,Morgon-Tidningen,AIP Media,837,2
343591900666,Gröna Lund,The Amazing Society,820,1
266170183550491,Nya Kompisbyrån,Nya Kompisbyrån,791,24
212604496324,Fackförbundet ST,Fackförbundet ST,752,33
176875999028086,Kristdemokraterna Stockholm,Kristdemokraterna Stockholm,750,1
1402657726653154,Hallå konsument,Konsumentverket,736,4
309283471958,Hyresgästföreningen Region Sydost,Hyresgästföreningen Region Sydost,703,28
175873745789190,Vänsterpartiet Göteborg,Vänsterpartiet Göteborg,692,9
187832004591985,LO-distriktet i Småland och Blekinge,LO-distriktet i Småland och Blekinge,676,2
264426550246963,Kalmar fortsatt framåt - Socialdemokraterna i Kalmar,Kalmar Fortsatt Framåt - Socialdemokraterna i Kalmar,675,2
183512318424647,Magdalena Andersson,Socialdemokraterna,669,2
122291934457124,Handelshögskolan vid Göteborgs universitet,Handelshögskolan vid Göteborgs universitet,666,3
390479295816,Socialdemokraterna i Jönköpings län,Socialdemokraterna i Jönköpings län,642,5
166406746310,Resumé,Resumé,641,2
1089666701084947,Timbro förlag,Timbro Förlag,629,4
1491285471125054,Vänsterpartiet Södertälje,Vänsterpartiet Södertälje,616,6
182595121869724,Sverigedemokraterna Stockholms stad,SD Stockholms stad,593,1
109344797318593,Vi Som Bygger Landet,Vi som bygger landet,584,3
328754490337,Vårdförbundet,Vårdförbundet,558,30
171485892943500,Socialdemokraterna i Jönköping,Socialdemokraterna i Jönköpings kommun,550,3
133148933394485,Socialdemokraterna i Malmö,Socialdemokraterna i Malmö,538,8
1042091032500520,Kvartal,Kvartal,536,6
92683221988,"Ung Pirat, Piratpartiets ungdomsförbund",These ads ran without a disclaimer,520,1
387421644643053,Hyresgästföreningen BohusÄlvsborg-Skaraborg,Hyresgästföreningen BohusÄlvsborg-Skaraborg,511,18
24574889995,Charlie Weimers MEP,Charlie Weimers MEP,505,1
393959767360779,Sverigedemokraterna Region Skåne,Sverigedemokraterna Region Skåne,501,4
175656912484553,Unionen,Unionen,498,13
198547346848470,Vänsterpartiet Linköping,Holmberg Erik Dennis Tobias,489,2
167036616661188,Sverigedemokraterna Malmö,Sverigedemokraterna Malmö,483,2
347852331958080,En Företagares Vardag,En Företagares Vardag,478,9
80386149597,ABF,ABFs förbundsexpedition,473,3
226810677402741,Centerpartiet i Jönköpings län,Centerpartiet Jönköpings län,458,2
690167674732029,Lena Hallengren,Socialdemokraterna,456,2
103457111315098,Vänsterpartiet Örebro Kommun,Vänsterpartiet Örebro kommun,453,2
312084019369,Dagens Medicin,Dagens Medicin,442,1
61602439009,NCC,NCC,439,8
100941935326134,RekonstruktionsGruppen,Rekonstruktionsgruppen Sverige AB,435,6
356032977210,Vi-skogen,Vi-skogen,412,11
174949672555149,Socialdemokraterna i Uppsala,Socialdemokraterna i Uppsala,400,1
296423575695,Afrikagrupperna,Afrikagrupperna,395,7
887305194662637,Axess Magasin & TV,Axess Publishing,392,1
534898423283520,Vänsterpartiet Norrköping,Vänsterpartiet Norrköping,391,1
114782395316367,Socialdemokraterna i Västernorrland,Socialdemokraterna i Västernorrland,391,8
513322965515580,Socialdemokraterna Kumla,Socialdemokraterna Kumla,378,6
132008873631170,Skatteverket,Skatteverket,372,1
539297539496434,Dagens Samhälle,Dagens Samhälle,370,1
249195615122371,Sara Skyttedal,Sara Skyttedal Dihang,357,1
965458110149319,Byggindustrin,Byggindustrin,356,1
189886914377536,Socialdemokraterna i Linköping,Socialdemokraterna i Linköping,355,4
152085291138,Aktuellt i Politiken,Aktuellt i Politiken,351,3
653502731358034,Liberalerna Växjö,Liberalerna Växjö,348,2
111842515680597,Hyresgästföreningen Norrland,Hyresgästföreningen,345,12
10150161538825010,Medborgarskolan,Medborgarskolan,343,2
508562669167179,Socialdemokraterna i Arboga,Socialdemokraterna i Arboga,339,2
1495636290691848,Vänsterpartiet Stockholms stad,Vänsterpartiet Stockholm stad,338,4
2002046333202650,Bli nämndeman,Bli nämndeman,333,10
272041890388,Socialdemokraterna i Eskilstuna,Socialdemokraterna i Eskilstuna,330,4
104760926229060,Uppsala kommun,Uppsala kommun,329,4
190994184253208,Vänsterpartiet Lund,Sahlen Carl Jesper,326,1
176527602394716,Olivia Personlig Assistans AB,Olivia Personlig Assistans AB,325,2
273053169937029,ClimateHero,ClimateHero,319,6
178193355556765,Nordström Assistans AB,Nordström Assistans AB,319,2
76472413284,Tidningen Vi,Tidningen Vi,316,2
244897208924797,Arbetet,Arbetet,316,1
129016447116122,Aktuell Hållbarhet,Aktuell Hållbarhet,314,1
222878274426091,Sverigedemokraterna Skåne,Sverigedemokraterna Skåne,312,2
473182566110689,Inre Kraft - Personlig Assistans & Hemtjänst,Inre Kraft - Personlig Assistans & Hemtjänst,312,2
115756055102646,Kura Omsorg  i Sverige AB,Kura Omsorg  i Sverige AB,309,2
115795772512,Stadsbiblioteket i Malmö,Stadsbiblioteket i Malmö,308,2
161686777385,Centerpartiet i Örnsköldsvik,Centerpartiet i Örnsköldsvik,302,3
233059080071059,Socialdemokraterna Sundbyberg,Socialdemokraterna i Sundbyberg,298,1
154887827868890,Sörmlands Sparbank,Sörmlands Sparbank,297,2
234172635050,Forum för levande historia,Forum för levande historia,296,2
129841741852473,Folkhälsodalen,Folkhälsodalen,295,6
294444197371898,Byggnads Skåne,Byggnads Skåne,295,2
113710601984970,Barnfonden,Barnfonden,292,2
212049035488183,The Hunger Project Sverige,The Hunger Project Sverige,289,5
383511565045309,Region Värmland,Region Värmland,280,1
237287320360804,Omtanke.today,Jenny Fors,269,6
217391588404948,Katalys,Katalys,260,2
114873078542788,Svalorna Latinamerika,Svalorna Latinamerika,254,1
163820136238,LO Sverige,Landsorganisationen Sverige,251,1
271560012882635,Svenskt Näringsliv Västra Götaland,Svenskt Näringsliv Västra Götaland,246,6
237863203023150,Vänsterpartiet Umeå,Vänsterpartiet Umeå,245,3
266083410123678,Moderaterna i Haninge,Moderaterna i Haninge,244,4
313671265509,Tankesmedjan Tiden,Tankesmedjan Tiden,242,4
150453111655854,Folkbildningsrådet,Elin Sundling,238,3
193309030695120,UR,UR,232,14
590736644344351,Svenskt Näringsliv Jönköpings län,Svenskt Näringsliv,229,5
183959274989548,Landsbygdsnätverket,Landsbygdsnätverket,228,3
277520678945640,Svenskt Näringsliv Halland,Svenskt Näringsliv,226,8
352682608599,Vänsterpartiet Västerås,Vänsterpartiet,221,4
126245644082634,Malmömoderaterna,Malmömoderaterna,220,2
306583979393918,Fredens Hus,Fredens Hus,220,2
1046128382080700,Vänsterpartiet Värmdö,Vänsterpartiet Värmdö,218,1
120633071295935,Fairtrade Sverige,Fairtrade Sverige,215,5
110669306956915,Orättsstaten.se,Orättsstaten.se,215,1
110892917183024,Alleima,These ads ran without a disclaimer,213,8
169508586461,Vänsterpartiet Jönköping,Vänsterpartiet Jönköping,212,1
145597762228825,Socialdemokraterna i Upplands Väsby,Suzanne Granqvist Enell,212,4
286987014656068,Socialdemokraterna Solna,Socialdemokraterna Solna,211,2
257164037714257,Socialdemokraterna i Piteå,Socialdemokraterna i Piteå,210,1
120216874723147,Svenskt Sigill,Svenskt Sigill,206,17
170519996379,Vänsterpartiet Malmö,Vänsterpartiet Malmö,205,2
655758061134956,Erikshjälpen Second Hand Borås,Caritha Felizia Michaela L Hilldén,203,1
531065853590965,Olofströms Socialdemokratiska Arbetarekommun,Olofströms Socialdemokratiska Arbetarekommun,202,2
212743882240652,Vänsterpartiet Örnsköldsvik,Vänsterpartiet Örnsköldsvik,199,5
341599100376,Brand,Brand,199,1
276115645732500,Socialdemokraterna i Gävle,Socialdemokraterna i Gävle,199,1
529020987200690,Socialdemokraterna Mölndal,Socialdemokraterna Mölndal,196,1
1633181116933852,SvD Junior,SvD Junior (SvD),196,8
397655376946941,Liberalerna Lidingö,Liberalerna Lidingö,195,2
438293093025882,Livsmedelsarbetare för Solidaritet,Johan Torgå,190,3
1540294046226139,Feministsmeden,Feministsmeden,189,2
198991600145434,Svenskt Näringsliv Skåne,Svenskt Näringsliv Skåne,187,2
644176508944888,Socialdemokraterna i Svalöv,Socialdemokraterna i Svalöv,186,1
328034740589662,Vänsterpartiet Eskilstuna,Vänsterpartiet Eskilstuna,185,1
310330762482786,Sara Kukka-Salam,Socialdemokraterna Solna,185,2
109609604086656,Vejpkollen.se,Vejpkollen.se,183,2
230671826970236,Uppsala konstmuseum,Uppsala kommun,180,4
769689373178831,Sjukvårdspartiet Västernorrland,Sjukvårdspartiet Västernorrland,179,1
214714535294863,Moravänstern - Vänsterpartiet Mora,Jenny Isabelle Louise Larsson,179,1
105051279529106,Kulturhuset Stadsteatern,Kulturhuset Stadsteatern,176,5
257888154669865,Conscia Sverige,Conscia Sverige AB,174,3
100154266829621,Kyrkans Tidning,Kyrkans Tidning,169,2
110406624703905,Katrin Stjernfeldt Jammeh,Socialdemokraterna i Malmö,168,1
766962160096580,Vi Omsorg i Sverige AB,Vi Omsorg i Sverige AB,165,2
465428396919164,Socialdemokraterna i Sollentuna,Socialdemokraterna i Sollentuna,164,1
180578795331360,Svenskt Näringsliv Blekinge,Svenskt Näringsliv,162,2
1715208875382561,OP Assistans,OP Assistans,162,2
505186329496364,Aktiv Assistans AB,Aktiv Assistans AB,157,2
194996370654471,Assistanslotsen,Assistanslotsen,155,2
1267325956645384,Bonzi,Bonzi,154,2
100253435575183,EPHI - Environment and Public Health Institute,Environment and Public Health Institute,154,2
1592395117505407,Näringslivets medieinstitut,Näringslivets Medieinstitut,154,2
388037891351308,Kristdemokraterna Haninge,Kristdemokraterna Haninge,149,1
103065692733960,Öis,Skövde kommun,149,1
653072158104424,Emma Wiesner,Emma Wiesner,149,1
155120071294454,Socialdemokraterna i Varberg,Socialdemokraterna Varberg,147,1
163305633746125,Karneval förlag,Holviks,147,3
152953178070559,Kommunistiska Partiet,Kommunistiska Partiet,147,1
183607788350923,Liberalerna Haninge,Liberalerna Haninge,146,4
154507768394620,Vänsterpartiet Fyrbodal,Vänsterpartiet Fyrbodal,142,1
1978566042454891,Socialistiskt Alternativ Haninge,RS Haninge,142,2
677603098938486,Socialdemokraterna Tjörn,Christer Olofsson,139,1
267640803634611,Moderaterna i Västerbotten,Moderaterna i Västerbotten,139,1
242795945821731,Centerpartiet Lund,Landin Camilla Maria,137,2
1400334680268097,Nyheter i Västerbotten,Nyheter i Västerbotten,137,2
143140665862271,Moderaterna Umeå,Moderata kretsen Umeå,137,1
147248651959750,Samhällsvetenskap-GU,Lars-Olof Karlsson,137,1
153150404966,Moderaterna Skellefteå,Moderaterna Skellefteå,136,1
119432911402994,Socialdemokraterna i Växjö,Socialdemokraterna Växjö,134,1
329452290816078,Tidningen Market,Tidningen Market,131,2
154369674717313,Socialdemokraterna Blekinge,Heléne Björklund,131,1
342952129133948,Kultur i Malmö,Kultur i Malmö,128,1
122512491125750,Ängelholms kommun,Ängelholms kommun,128,1
323156205347,Vänsterpartiet,Vänsterpartiet,128,12
164401175915,Centerpartiet i Vallentuna kommun,Centerpartiet i Vallentuna kommun,127,1
594864470559908,Transammans,Bartholdsson Geetha Amalia,125,2
568167776635166,Socialdemokraterna Mönsterås,Socialdemokraterna Mönsterås,125,1
169151353117822,Folkuniversitetet Göteborg,Folkuniversitetet Göteborg,123,1
1829725353928210,Tomas Tobé,Tomas Tobé,121,1
1383867568544212,Socialdemokraterna Falkenbergs kommun,Svensson Per Johan Klas,119,1
146593541117,nwt.se,NWT Media AB,118,2
1682793018671477,Socialdemokraterna i Kävlinge kommun,Kävlinge Arbetarekommun,117,1
337086006951883,Jessica Polfjärd,Moderaterna,117,1
111699453757094,Soft Towel Games,These ads ran without a disclaimer,117,3
276280366116172,Vänsterpartiet Kävlinge,Vänsterpartiet Kävlinge,116,1
237658639705704,Socialistiskt Alternativ,Rättvisepartiet Socialisterna,116,2
115358525182240,"Mattias Bernhardsson, Socialistiskt Alternativ",RS Haninge,116,2
540622546006901,Centerpartiet Nacka,Centerpartiet Nacka,116,2
127624557250669,Miljöpartiet de gröna Gävle,Sabina Rossini,112,2
154313704727539,Rättighetscentrum Norrbotten - mot diskriminering,Rättighetscentrum Norrbotten,111,1
116412365039490,Socialdemokraterna i Västerbotten,Socialdemokraterna i Västerbotten,111,1
209819466173690,Region Stockholm,Region Stockholm,109,1
263226677166742,Socialdemokraterna i Västerviks Kommun,Västerviks socialdemokratiska arbetarekommun,108,1
126125844249254,Socialdemokraterna i Katrineholm,Socialdemokraterna Katrineholm,108,1
108878133830874,Grön flygplats,Projektet Grön Flygplats; finansierat av Svenska Regionala Flygplatser och Europeiska Regionala Utvecklingsfonden,107,6
103835119648706,Socialdemokraterna i Emmaboda,Jarkko Pekkala,105,2
273402369438867,By Billgren,By Billgren AB,104,1
60653824755,Socialdemokraterna i Sandviken,Socialdemokraterna i Sandviken,104,2
637235366608588,studietid,#studietid,103,1
255288010153,Sida - Styrelsen för Internationellt Utvecklingssamarbete,Sida - Styrelsen för Internationellt Utvecklingssamarbete,≤100,1
735108653195373,Vänsterpartiet Haninge,Olofsson Lars-Johan Patrik,≤100,1
502392236527740,Socialdemokraterna i Vaggeryds kommun,Socialdemokraterna i Vaggeryds kommun,≤100,1
186258296859,Kommunistiska Partiet i Växjö,"Kommunistiska Partiet, Växjö",≤100,1
349041299054769,Kungl. Vetenskapsakademien,Kungl. Vetenskapsakademien,≤100,4
314283591054,Byggnads,Byggnads,≤100,9
138449739649621,Synskadades Riksförbund,Synskadades Riksförbund,≤100,2
99753892609,Framtidsjorden,Framtidsjorden,≤100,2
253851994766681,Socialdemokraterna i Surahammars kommun,Socialdemokraterna i Surahammars Kommun,≤100,1
1139097292843761,Kristdemokraterna Göteborg,Miriam Helena Lilja,≤100,1
212284955495610,Elektrikerna,Elektrikerna,≤100,2
110813562940,Vision,Vision,≤100,1
386485284783972,Socialdemokraterna i Enköping,Socialdemokraterna i Enköping,≤100,2
1261907310611511,Segerstedtinstitutet vid Göteborgs universitet,Richard Millings,≤100,1
134203416648288,Socialdemokraterna i Sölvesborg,Socialdemokraterna i Sölvesborg,≤100,1
268608766607208,Svensk Tidskrift,Svensk Tidskrift,≤100,3
794309503933311,Socialistiskt Alternativ Luleå,Karl Jonas Brännberg,≤100,2
306507932750972,Socialdemokraterna i Uddevalla,Socialdemokraterna i Uddevalla,≤100,2
127757523931098,Emrahus AB,Emrahus AB,≤100,1
338366093200,Socialdemokraterna i Luleå,Socialdemokraterna i Luleå,≤100,2
722853564439941,Gustav Hemming,Centerpartiet Region Stockholm,≤100,1
301626360787766,Genius Värmland,Region Värmland,≤100,2
137064659670161,Vänsterpartiet Uppsala,Vänsterpartiet Uppsala,≤100,2
100323819247251,Désirée Pethrus,Désirée Pethrus KD Sthlm,≤100,3
224009747651167,Socialdemokraterna i Örebro län,Socialdemokraterna i Örebro län,≤100,1
324914190902686,Magasinet Paragraf,Magasinet Paragraf,≤100,1
764893650241446,Equal -För ett jämlikt Stockholm,Equal,≤100,1
187832004591985,LO-distriktet i Småland och Blekinge,Patrik Långberg,≤100,1
137789886310956,Socialdemokraterna Huddinge,Socialdemokraterna Huddinge,≤100,1
116164151735446,Jan Jörnmark,These ads ran without a disclaimer,≤100,1
513330082107760,Centerpartiet Gotland,Centerpartiet Gotland,≤100,1
229651940519344,Stadsutveckling Stockholm,Stockholms stad,≤100,1
522529504506581,Socialdemokraterna i Mjölby,Socialdemokraterna i Mjölby,≤100,1
273269576169760,Socialdemokraterna i Oskarshamns kommun,Socialdemokraterna i Oskarshamn,≤100,3
62185934430,Olof Palmes Internationella Center,Olof Palmes Internationella Center,≤100,2
105213482885566,Nackademin,These ads ran without a disclaimer,≤100,1
135062563176874,Utrikespolitiska Institutet,Utrikespolitiska Institutet,≤100,2
341237002630986,Karlshamns kommun,Karlshamns kommun,≤100,1
748918228510492,Sverigedemokraterna Halmstad,Sverigedemokraterna Halmstad,≤100,1
301589756551823,Miljöpartiet Klippan,Miljöpartiet de gröna i Klippan,≤100,3
1592860820974499,Vänsterpartiet Sundbyberg,Vänsterpartiet Sundbyberg,≤100,1
882970465088842,Svenskt Näringsliv Kalmar län,Svenskt Näringsliv,≤100,1
308075749348969,Svenskt Näringsliv Kronoberg,Svenskt Näringsliv,≤100,1
197762513603868,MÄN,MÄN,≤100,2
292556574856114,Socialdemokraterna i Arjeplog,Socialdemokraterna Arjeplog,≤100,1
127535893942048,Folkhögskolorna,Folkhögskolorna,≤100,2
1673788782717355,Helena Storckenfeldt,Helena B A Storckenfeldt,≤100,1
178042775588482,Reportrar utan gränser,Reportrar utan gränser,≤100,3
132934600111301,Skogsstyrelsen,Skogsstyrelsen,≤100,1
66496453715,Miljöpartiet de gröna i Umeå,Miljöpartiet de gröna i Umeå,≤100,1
231705333633358,Göteborgs stift Svenska kyrkan,Göteborgs stift Svenska kyrkan,≤100,1
523593237693284,Naturskyddsföreningen Borås,Johan Bertil Linderstad,≤100,1
899603916845362,JAG Personlig assistans,JAG Personlig assistans,≤100,2
268593563268202,Kristdemokraterna Tyresö,Kennerberg Leif Robert,≤100,2
165168156799,Göteborgs-Posten,Göteborgs-Posten,≤100,3
320527884686176,Vänsterpartiet Östersund,Vänsterpartiet Östersund,≤100,1
127063960674693,Svenska Freds- och Skiljedomsföreningen,Svenska Freds- och Skiljedomsföreningen,≤100,1
273249776157066,Vänsterpartiet Solna,Vänsterpartiet Solna,≤100,1
579268339149105,Erik Bergkvist,Socialdemokraterna i Europaparlamentet,≤100,1
225975657531513,Moderaterna i Södertälje kommun,"Moderata Samlingspartiet, Södertäljekretsen",≤100,1
250766161722636,Europa Direkt Halland,Europa Direkt Halland,≤100,1
132283643466629,Sappa,These ads ran without a disclaimer,≤100,1
196279137437005,Kristdemokraterna Växjö,Kristdemokraterna Växjö,≤100,1
449577235139576,Socialdemokraterna i Ljungby kommun,Socialdemokraterna i Ljungby kommun,≤100,1
665682436792792,Moderaterna i Varberg,Moderaterna,≤100,1
333290023467685,Socialdemokraterna Älvkarleby,Socialdemokraterna Älvkarleby,≤100,1
788657588008189,Moderaterna i Västerås,Moderata samlingspartiet i Västerås,≤100,2
624844364247833,Svenskt Näringsliv Värmland,Svenskt Näringsliv Värmland,≤100,1
376895635835517,Vännäs kommun,These ads ran without a disclaimer,≤100,1
636674963068916,Vänsterpartiet Sundsvall,Vänsterpartiet Sundsvall,≤100,1
403554826503920,Vänskapsförbundet Sverige-Israel,Vänskapsförbundet Sverige-Israel,≤100,2
116551365038257,Vänsterpartiet Borås,Stefan Lindborg,≤100,1
171919835807,TCO,TCO,≤100,1
114033205273395,Svenska Burmakommittén,Svenska Burmakommittén,≤100,1
150909028299502,Jernkontoret,Jernkontoret,≤100,3
262656093762675,Östersunds kommun - Staaren tjïelte,Östersunds kommun,≤100,1
753404261386015,Kristdemokraterna i Alingsås,Kristdemokraterna i Alingsås,≤100,1
103195709344522,Anna Zelvin KD - Regionråd - Kronoberg,Anna Zelvin KD - Regionråd - Kronoberg,≤100,1
1432591790382295,ByMartinsdotter,By Martinsdotter,≤100,10
121489607875162,Vänsterpartiet Växjö,Vänsterpartiet Växjö,≤100,1
105755296132267,Miljöpartiet de Gröna Ekerö,Miljöpartiet de gröna Ekerö,≤100,1
76847196995,Göteborgs stadsbibliotek,Göteborgs stadsbibliotek,≤100,2
435489349877161,Moderaterna i Östergötland,Moderaterna i Östergötland,≤100,1
94400267368,jagvillhabostad.nu,jagvillhabostad.nu,≤100,3
170211353124087,Centerpartiet i Stockholm,Centerpartiet i Stockholm,≤100,6
760092737373457,Liberalerna Region Uppsala,Liberalerna Uppsala,≤100,2
1401558216532453,Kristdemokraterna Laholm,Nilsson Jorgen Christian,≤100,1
576490902395547,Vänsterpartiet Uddevalla,Vänsterpartiet Uddevalla,≤100,1
125113298313,Centerpartiet i Malmö,Centerpartiet i Malmö,≤100,5
106459258633326,Vänsterpartiet Trelleborg,Vänsterpartiet Trelleborg,≤100,2
442310166254107,Miljöpartiet i Grästorp,Miljöpartiet de Gröna Grästorp,≤100,1
358016594293864,Socialdemokraterna Ystad,Martensson Hans Inge Marten,≤100,2
272185502945519,Socialdemokraterna Landskrona,Jonas Esbjörnsson,≤100,1
115257524392599,Socialdemokraterna Vännäs,Socialdemokraterna i vännäs,≤100,1
17775970938,Cancerfonden,Cancerfonden,≤100,4
1097619030278107,Moderaterna Lekeberg,Moderaterna Lekeberg,≤100,2
155607071162224,Socialdemokraterna i Mariestad,Kaj Sebastian Ekeroth Clausson,≤100,1
144459582270252,UF Uppsala - The Association of Foreign Affairs,UF Uppsala - The Association of Foreign Affairs,≤100,1
300290481979,Södertälje kommun,Södertälje kommun,≤100,1
773867402653937,Torkild Strandberg,Torkild Strandberg,≤100,3
375308860220,Socialdemokraterna i Timrå,Socialdemokraterna i Timrå,≤100,1
103312446472124,Socialdemokraterna i Mora,ANNA-CARIN NICE MATTSSON,≤100,1
105847949124690,Ask AI - Free Chat GPT App,These ads ran without a disclaimer,≤100,1
1518274061818110,Liberalerna Askersund,Liberalerna Askersund,≤100,1
161935043870264,Sverigedemokraterna Eskilstuna,Bertil Mikael Nygren,≤100,1
407290589320311,ABF Örebro län,Mikael Runesson,≤100,2
280367068667411,Centerpartiet Uppsala,Centerpartiet Uppsala,≤100,1
1544485135838767,Svenskt Näringsliv Mellansverige,Svenskt Näringsliv Mellansverige,≤100,2
540469052705480,Vänsterpartiet Eslöv,Rašović Kasumović Umihana,≤100,2
132728320103707,Östasiatiska museet,These ads ran without a disclaimer,≤100,1
149719265052460,BTH - Blekinge Tekniska Högskola,These ads ran without a disclaimer,≤100,1
157426134878218,Bodens kommun,Bodens kommun,≤100,3
1504070149885840,Socialdemokraterna i Krokoms kommun,Krokoms socialdemokratiska arbetarekommun,≤100,1
1545369075688158,Brottsofferjouren Sverige,Brottsofferjouren Sverige,≤100,1
155999571265763,Centerpartiet i Solna,Centerpartiet i Solna,≤100,1
1420420074890794,Moderaterna Sollentuna,Anastasia Frida Sofla,≤100,1
45101268520,SSU,SSU,≤100,8
150339891652630,Rönningepartiet,Anders Klerkefors,≤100,1
251829904829983,David Lega,David Lega - Kristdemokraterna,≤100,1
100261020152077,Väsbymoderaterna,Väsbymoderaterna,≤100,1
160210550756111,Huddingemoderaterna,Huddingemoderaterna,≤100,1
62044983625,The Amazing Society,The Amazing Society,≤100,2
1293728424047507,Vänsterpartiet i Falkenberg,Ake Emanuel Andersson,≤100,1
108492218918,IF Metall,IF Metall,≤100,3
394687000597592,Barnombudet i Uppsala län - BOiU,Barnombudet i Uppsala län,≤100,1
234842993227024,Socialdemokraterna i Nacka,Socialdemokraterna i Nacka,≤100,1
108304136037279,Moderaterna i Kävlinge,Moderaterna i Kävlinge,≤100,1
1430453657214052,Sverigedemokraterna Svalöv,Sverigedemokraterna Svalöv,≤100,1
536156530105433,Demokratibygget,Demokratibygget,≤100,1
273254886116655,Motargument,Motargument,≤100,1
162466473776556,Klimataktion,Klimataktion,≤100,2
304929002856002,Miljöpartiet de gröna i Järfälla,Miljöpartiet de gröna i Järfälla,≤100,14
132143480932,Nackamoderaterna,Nackamoderaterna,≤100,1
200168212690,Svenska Spanienfrivilligas vänner,Svenska Spanienfrivilligas Vänner,≤100,2
1484959768492671,QTF Sweden AB,Hans Widell,≤100,1
160691817220,Naturskyddsföreningen i Göteborg,Naturskyddsföreningen i Göteborg,≤100,1
281677578658057,Socialdemokraterna i Trollhättan,Cathrin Boström,≤100,1
263254143796137,Skogssällskapet,Skogssällskapet,≤100,1
636064916466764,Vänsterpartiet Kramfors,Vänsterpartiet Kramfors,≤100,1
