Page ID,Page name,Disclaimer,Amount spent (HUF),Number of ads in Library
166359293376130,Hévíz Város Önkormányzata,Papp Gábor,3266,3
109983377136210,Polgári Magyarországért Alapítvány,Polgári Magyarországért Alapítvány,3249,1
1215492498464496,Angyal Károly,Angyal Károly Tibor,3220,3
162344823835042,atlatszo.hu,atlatszo.hu,3207,2
270252536876598,Tudományos Stand Up,TSU Rendezvényszervező kft,3065,2
105967164071611,Nagy Balázs Szemere és Ganztelep,Nagy Balázs István,3039,3
1578425772456135,DreamJo.bs,These ads ran without a disclaimer,2936,1
1254043201298941,Fiatalok Fehérvárért Egyesület,These ads ran without a disclaimer,2887,1
445067412712417,Dr. Molnár Krisztián,Molnár Krisztián,2871,3
113043410066839,Momentum Zala,Momentum Mozgalom,2871,2
135889536506991,Design Terminal,These ads ran without a disclaimer,2818,1
100437945297266,Momentum Törökbálint,Momentum Mozgalom,2808,1
103581448930725,Szeretlek Csongrád-Csanád,Genesis Médiacsoport Kft.,2727,2
161746613987047,Állampolgári Bizottság az Emberi Jogokért,Állampolgári Bizottság az Emberi Jogokért,2697,4
209438606076,Emberség Erejével,Emberség Erejével Alapítvány,2677,3
105666454157523,Szikra Mozgalom,Szikra Mozgalom,2660,1
110328363663045,Körmendi Zoltán,Momentum Mozgalom,2645,1
1652741928333536,KPSVR,KPSVR Media,2617,1
1584646591763647,Kanász-Nagy Máté,LMP - Magyarország Zöld Pártja,2610,1
103141961544400,Future of Debrecen,Future of Debrecen Egyesület,2603,4
103911652142849,Lados Tamás,Momentum Mozgalom,2456,1
451084968283411,Klímainnovációs Közösség,PANNON Pro Innovációs Kft.,2425,1
2407809316170057,Szendefy Mária - LMP,LMP - Magyarország Zöld Pártja,2416,1
141169136438903,Manninger Jenő,Manninger Jenő Keszthely Város Polgármestere,2304,1
170187966339475,Life.hu,Mediaworks Hungary Zrt.,2190,1
421262681731198,Vasarnap.hu,Kovács K. Zoltán Alapítvány,2185,2
100854821274719,Sajgó György - Momentum,Momentum Mozgalom,2170,1
473556426002468,Fogászat Relaxációban,Relax dental center,2150,1
243470906428319,Juhász Hajnalka,Juhász Hajnalka,2134,1
18562323874,Élet és Irodalom,Székely János,2122,3
229919737190021,Horváth István,Horváth István,2102,1
278992483155,Tordai Bence,Párbeszéd Magyarországért,2042,1
100973207964721,Schwarcz-Kiefer Patrik,Jobbik Magyarországért Mozgalom,1984,2
855293038157741,Momentum Kőbánya,Momentum Mozgalom,1982,1
124991704202615,Magyar Természetvédők Szövetsége- Föld Barátai Magyarország,Magyar Természetvédők Szövetsége- Föld Barátai Magyarország,1964,1
111861546845910,Fidesz I. kerület,Fidesz,1937,1
100467642324899,Realista,Az Év Irodája,1928,1
106419404092005,HEGY,Hajnal egyesület Gyömrőért - HEGY,1916,1
103670522489720,A baloldal valódi arca,A baloldal valódi arca,1901,2
887921287887805,Király Nóra,Király Nóra,1890,1
116609705085092,BP18,BP18,1820,1
1059773170712510,Őri László,Dr. Őri László Szabolcs,1778,1
344967909393503,Nagy Bálint,Fidesz,1756,3
100221074822970,Csizmadia Péter,Dr. Csizmadia Péter,1713,1
228919710581213,Kislábnyom - Small Footprint,GreenDependent Intézet Kft.,1713,1
102641477991941,bahir.hu - BAHÍR,Zöld Baranya Egyesület,1673,7
161957537171267,Schmidt Mária,Schmidt Mária,1657,1
102980451300295,Párbeszéd Magyarországért Győr és környéke,Párbeszéd Magyarországért,1633,1
230314307098155,Patent Egyesület,PATENT Egyesület,1582,1
1139880662693159,Összefogás XI. Sportegyesület,Összefogás 11 Sportegyesület,1537,1
168579536652834,MKKP Józsefváros,Magyar Kétfarkú Kutya Párt,1519,3
103922897650335,Bakos Bernadett,LMP - Magyarország Zöld Pártja,1499,1
111032325184666,Beautycle,Beautycle,1494,3
623719727672871,Nestlé,Nestlé Hungária Kft.,1432,2
14792493292,Magyar Kétfarkú Kutya Párt,Magyar Kétfarkú Kutya Párt,1427,2
103765678287859,Civil Bázis,Civil Bázis Egyesület,1378,1
109565208474856,Startlap - Utazás tippek,Central Médiacsoport Zrt.,1346,1
101012008297812,Tanyasi Csirke,These ads ran without a disclaimer,1343,1
270741976461920,Farkas Éva Erzsébet,Farkas Éva Erzsébet Hivatalos Oldala,1338,1
101642649001155,Új Szó Nálunk,Somodi Géza,1322,1
694941900537141,Ágh Péter,Fidesz,1280,1
105140281027554,Hírnyolc,Hírnyolc,1276,1
200615179974476,Tégy az abortusz ellen,Karácsonyi Zoltán,1275,1
644419442322200,Magyar Cetelem Bank,Magyar Cetelem Zrt.,1264,1
110519871432528,Erzsébeti Napló,Erzsébeti Napló,1258,1
545872002109034,Matkovich Ilona,Matkovich Ilona Zsuzsanna,1234,2
115050303274279,Horváth Soma,Horváth Soma Àdám,1220,1
1869511526651884,Zsigmond Barna Pál,Fidesz,1220,3
108146403966754,Dr. Bagó Zoltán,Dr. Bagó Zoltán,1217,1
132233380778392,Dr. Kállai Mária,dr. Kállai Mária,1189,1
293410494975,Republikon Intézet,Republikon Alapítvány,1189,2
164978926850719,Kommentár folyóirat,Kommentár folyóirat,1179,1
107123677458699,Külpologika,Tamás Novák,1161,1
101833031899786,Sziklai Attila - Momentum Mozgalom,Attila Sziklai,1159,2
100241004684178,Balázs Endre - Momentum,Momentum Mozgalom,1139,1
527351247377965,European Committee of the Regions,European Committee of the Regions,1136,2
106745191902831,Bács-Kiskun 5 - DK,Nagy Szabolcs,1132,2
110292211697859,Erdélyi Rezső Krisztián Nézőpontja,Nézőpont,1131,1
146607505415353,Bakony és Balaton Keleti Kapuja Közhasznú Egyesület,Bakony és Balaton KKKE,1129,1
585095911522471,"MKKP - Baranya megye, bevéve Komló",Magyar Kétfarkú Kutya Párt,1108,3
102989522035144,Szent István Intézet,Szent István Intézet,1090,1
107091838808265,AccorInvest Hotels Hungary,These ads ran without a disclaimer,1090,1
202099276507678,24.hu,24.hu,1077,1
268042136672212,Századvég,Századvég Közéleti Tudásközpont Alapítvány,1068,2
2068340643210198,MKKP Baja,Magyar Kétfarkú Kutya Párt,1061,3
102203505677256,Fenntartható Városok,Fenntartható Közösségek Központja,1049,2
320701218553533,Alternatíva Párt,Alternatíva párt,1040,1
1640736922828484,Sermer Ádám,Adam Sermer,1022,1
320645820787,Haszon magazin,Haszon magazin,991,5
350338649023047,Kecsup hírek,KecsUP,988,1
142695722442067,Napvilág Kiadó,Napvilág Kiadó,952,1
438674070213065,Magyar Állampapír,Magyar Állampapír,941,1
104568618373270,Településfejlesztési Szövetség,Településfejlesztési Szövetség,939,1
111310417341906,Változást Akarók Nemzedéke,Változást Akarók Nemzedéke közéleti egyesület,916,1
149979188955749,Mihálik Edvin,Mihálik Edvin Máté,914,1
670269189782610,Ficsak - Fiatal Családosok Klubja,Fiatal Családosok Klubja,873,1
183723231644096,Szita Károly,Szita Károly,871,1
267674610816415,Dóczi Péter,Alternatíva párt,867,3
101646642494867,Kristály,Kristály,835,1
105216764203897,Bakai-Nagy Zita Újbuda,Bakai-Nagy Zita,833,1
679667272061948,Szociodráma,These ads ran without a disclaimer,826,1
1065713933504228,Új Egyenlőség,Új Egyenlőség,822,2
144606418883602,MAGOSZ,Magyar Gazdakörök és Gazdaszövetkezetek Szövetsége,816,1
135049793193159,IH Rendezvényközpont,IH Rendezvényközpont,805,1
173688126557724,Soproni Tamás,Soproni Tamás,805,1
371225050791,Transparency International Magyarország,Transparency International Magyarország,798,1
106236922109249,Hajnal-2026,Radics Gábor Zoltán,788,1
1435049493448120,Pintér Tamás,Pintér Tamás,764,1
128884360624104,Bóna Zoltán,Bóna Zoltán,743,1
110172837015532,Strenner Imre,Strenner Imre Viktor,739,1
110554660434098,Dunaújváros Önkormányzata,Dunaújváros Önkormányzata,719,1
804685603241491,Czuczor Gergely,Fidesz - Magyar Polgári Szövetség,706,1
186937904681332,Szabó Rebeka,Szabó Rebeka Katalin,684,1
233529653487142,Karsay Ferenc,Karsay Ferenc,639,1
106144105485262,MKKP Zalaegerszeg,MKKP,616,1
490177777659085,Vác és környéke,Vác és Környéke,616,1
329444931109132,Őrsi Gergely,Őrsi Gergely Ferenc,568,1
104173410954523,Oroján Sándor,Oroján Sándor,558,1
673693826152560,Jóska a gemenci rabsic,Jóska a gemenci rabsic,554,1
101776232507302,"Váltsuk le Gyurcsányt, hogy leválthassuk Orbánt",Bodai Richárd,550,1
110056758082933,Mihálffy Béla,Béla Mihálffy,525,1
386132578063762,Balaicz Zoltán,Balaicz Zoltán,500,1
348148758663062,Indahouse Hungary,InDaHouse Hungary Egyesület,496,1
101727068829380,Контекст Европа,These ads ran without a disclaimer,489,1
127539005484626,Very Important Planet,thevip.hu,478,1
108719368420307,Németh Ferenc - Momentum,Németh Ferenc,474,1
104827184266121,Görög András,Görög András,472,1
505026903245102,Bácskai Harsona,Bácska Harsona Magazin,461,1
111571011862964,Bajusz Gábor - Miskolc,Bajusz Gábor,447,1
1788976674749685,Törő Gábor,Törő Gábor,442,1
254370078847652,Hajrá Békéscsaba Egyesület,Hajrá Békéscsaba Egyesület,432,1
264210363649459,Élő Norbert,Élő Norbert,431,1
114908574874457,Green Roots,These ads ran without a disclaimer,429,8
437674733429219,Unger Tamás,Unger Tamás,423,1
519279158277826,Szülői Hang,Szülői Hang,418,1
