Page ID,Page name,Disclaimer,Amount spent (CAD),Number of ads in Library
142208566054,YMC,Ehm & Co Communications - YMC,≤100,1
858050834343688,Brunet Ste-Agathe,PHARMALEAD,≤100,2
107756318982458,,Kanata-Carleton PC Riding Association,≤100,1
122317267509759,Carlo Simmons,Carlo Simmons,≤100,2
137835112950812,Egale Canada,Egale Canada,≤100,2
306509560692,FRIENDS/Les Amis,FRIENDS of Canadian Broadcasting,≤100,2
111008794934816,Valérie Schmaltz - députée de Vimont à l'Assemblée Nationale,Valérie Schmaltz - députée de Vimont à l'Assemblée Nationale,≤100,9
264035282685,"Commission des normes, de l'équité, de la santé et de la sécurité du travail","Commission des normes, de l'équité, de la santé et de la sécurité du travail",≤100,3
659297051382069,A Leaf,These ads ran without a disclaimer,≤100,1
103655764654302,Indigenous Leadership Initiative,The Indigenous Leadership Initiative,≤100,1
195608229977,BC NDP,BC NDP,≤100,2
1538081313097606,"Lynn Gehl, PhD - Algonquin Anishinaabe-Ikwe","Lynn Gehl, PhD - Algonquin Anishinaabe-Ikwe",≤100,1
198161003562116,Vancouver Humane Society,Vancouver Humane Society,≤100,1
116486331729420,350 Canada,350 Canada,≤100,26
184906186150,The Toronto Star,The Toronto Star,≤100,1
1670059186635128,Brunet Ste-Adèle,PHARMALEAD,≤100,2
541315122557352,CODE NGO,CODE NGO,≤100,3
290633408116,Le Quotidien,Le Quotidien,≤100,2
250592478295316,C2C Journal,C2C Journal,≤100,8
1968451243484787,Brad Redekopp MP,Brad Redekopp MP,≤100,2
39315431246,Fair Vote Canada/Représentation équitable au Canada,Fair Vote Canada/Représentation équitable au Canada,≤100,2
150294235064565,Allstate Canada,Allstate Canada,≤100,2
557724307720097,Right Now,RightNow HQ Canada,≤100,1
903092169744932,Green Alberta Energy,Green Alberta Energy,≤100,1
49370559799,Ducks Unlimited Canada,Ducks Unlimited Canada,≤100,1
1422990784605742,iA Financial Group (Industrial Alliance),iA Financial Group (Industrial Alliance),≤100,1
447282598670187,Collectif pour un Québec sans pauvreté,Collectif pour un Québec sans pauvreté,≤100,2
179488658767581,ICI Alberta,Radio-Canada,≤100,4
452116211477904,Saskatchewan Parks and Recreation Association,Saskatchewan Parks and Recreation Association,≤100,4
203135665808,Mississauga Parks & Recreation,City of Mississauga,≤100,4
177872532253393,National Citizens Coalition,National Citizens Coalition,≤100,1
218573921540886,Interior Health,Interior Health,≤100,1
102519276560938,NWT Fire,Government of the Northwest Territories,≤100,4
136079756439224,Nova Scotia Power,Nova Scotia Power,≤100,1
316302965122489,Clean Energy Canada,Clean Energy Canada,≤100,1
112183950454035,Feminine Riles,Feminine Riles,≤100,1
139984972692333,Fondation Rivières,Fondation Rivières,≤100,2
211531832738216,Brunet Plus Sainte-Julienne,PHARMALEAD,≤100,3
101254104704365,ProEcolo,ProÉcolo,≤100,6
423019977746485,Ontario Council of Hospital Unions,Ontario Council of Hospital Unions-CUPE,≤100,1
629756027442310,Kody Blois,Kody Blois,≤100,3
465152633548835,Generation Squeeze,Association for Generational Equity operating publicly as Generation Squeeze,≤100,3
106199152742714,Histoire Canada,Histoire Canada,≤100,2
539849506029629,Fondation Marie-Vincent,Fondation Marie-Vincent,≤100,5
109210999137883,Canada's History,Canada's History,≤100,2
2349053895373277,Kyle Seeback,Kyle Seeback,≤100,2
108062482571273,Birchway Niagara,Women's Place of South Niagara Inc.,≤100,1
219434388434291,Jean Coutu Archambault & Morisset,PHARMALEAD,≤100,1
1459524474331964,Jean Coutu Briggs Drugs,PHARMALEAD,≤100,2
176256900912,Saskatchewan Party,The Saskatchewan Party,≤100,10
101866535989905,Feux TNO,Gouvernement des Territoires du Nord-Ouest,≤100,4
559518311068324,Les engagés publics,Engagés publics,≤100,1
115635421537005,Michelle Budiwski,Official Agent for Michelle Budiwski,≤100,2
885367448177343,Bob Zimmer MP,Bob Zimmer MP,≤100,4
527217270712141,Jean Coutu Fort-Saint-Louis,PHARMALEAD,≤100,2
107500791481568,Kevin Falcon,BC Liberal Party,≤100,3
31912359596,University of Saskatchewan,University of Saskatchewan,≤100,13
99737429800,The 519,The 519,≤100,1
229528829216,Mississauga Culture,City of Mississauga,≤100,1
597902120327040,"Martin Shields, MP","House of Commons, Office of Martin Shields MP",≤100,4
103290118198670,Alberta Women's Health Foundation,Alberta Women's Health Foundation,≤100,10
616355908468201,"John P Schuman, CS, Child and Family Law","John P. Schuman, Professional Corporation",≤100,1
100371388906713,Jean Coutu St-Sauveur,PHARMALEAD,≤100,1
569892266362568,Grace Impact,These ads ran without a disclaimer,≤100,1
108471601462923,Vendde,These ads ran without a disclaimer,≤100,1
141546939208399,The Manitoba Real Estate Association,The Manitoba Real Estate Association,≤100,3
352127398180084,Centre for Gender & Sexual Health Equity - CGSHE,Centre for Gender & Sexual Health Equity,≤100,3
778249265891813,"Brent Jones, Realtor",Brent Jones,≤100,2
113932273347092,Jean Coutu St-Canut,PHARMALEAD,≤100,2
551408801597287,Unifor Canada,Unifor Canada,≤100,1
190440300974434,Shannon Stubbs,Shannon Stubbs,≤100,1
100798439408577,"Céline Haytayan, députée de Laval-des-Rapides à l'Assemblée nationale","Céline Haytayan, députée de Laval-des-Rapides à l'Assemblée nationale",≤100,3
291140993113,Vancouver Is Awesome,Vancouver Is Awesome,≤100,1
265695124092853,3BEnergy,These ads ran without a disclaimer,≤100,1
1770099126380076,Familiprix Danielle Tardif - Cantley,PHARMALEAD,≤100,2
101521614692017,Ditch Plastic Packaging,Hartmann North America,≤100,1
1408216169439893,Uniprix Julie Deslongchamps,PHARMALEAD,≤100,2
1506858022899841,Uniprix Sylvain H.Gélinas,PHARMALEAD,≤100,2
110171632407726,Conseil national des chômeurs et chômeuses,Conseil national des chômeurs et chômeuses,≤100,2
565674703519231,Woodfibre LNG,Woodfibre LNG,≤100,1
394745970602999,The Council of Canadians,The Council of Canadians,≤100,1
450000759160380,Swipe Right Media,These ads ran without a disclaimer,≤100,1
64067037679,Expedia,These ads ran without a disclaimer,≤100,1
319539178149614,Town of White City,Town of White City,≤100,1
608650595820049,The Conqueror Challenges,These ads ran without a disclaimer,≤100,11
108893928808108,majed.shamsa,These ads ran without a disclaimer,≤100,1
472055129505752,Ville de Terrebonne,Ville de Terrebonne,≤100,2
231211090395156,Julie Dzerowicz,Julie Dzerowicz,≤100,1
316627528373625,Le Festif de Baie-Saint-Paul,These ads ran without a disclaimer,≤100,2
117828214960268,Trudell Medical International,These ads ran without a disclaimer,≤100,2
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,2
1642929092406128,Knowable Magazine,These ads ran without a disclaimer,≤100,1
