Page ID,Page name,Disclaimer,Amount spent (BRL),Number of ads in Library
111130822268479,IDP,"Instituto Brasileiro de Ensino, Desenvolvimento e Pesquisa IDP - LTDA",≤100,11
107575845348720,Mangueira Advocacia Previdenciária,Anderson Da Silva Mangueira,≤100,3
1405025743082214,Coronel Alberto Feitosa,Alberto Jorge Feitosa,≤100,6
109785372399873,IAB - Instituto dos Advogados Brasileiros,Instituto dos Advogados Brasileiros,≤100,14
686957841396310,Vitório Júnior,Vitório Júnior,≤100,6
102384321716297,Advocacia Cortona e Ranieri,Advocacia Cortona Ranieri,≤100,5
2016641191899819,Bruno Ganem - Indaiatuba,Bruno Ganem,≤100,2
644691802244395,Bordalo,Carlos Bordalo,≤100,5
274527822566791,Ciro Nogueira,Ciro Nogueira,≤100,4
129296464237962,Prefeitura de Ourinhos,Prefeitura de Ourinhos,≤100,5
100148085814229,Concursos e Processos Seletivos Brasil,IBFC - Instituto Brasileiro de Formação e Capacitação,≤100,14
1423620614574722,Luís Fernando Almeida,Luis Almeida,≤100,1
219850498217978,Prefeitura de Caratinga,Claudia De Azeredo Moura,≤100,5
106525678463910,União Brasil 44,UNIÃO BRASIL,≤100,3
2034754990120059,Ibrachina,Ibrachina Instituto Sociocultural Brasil-China,≤100,8
163372447147733,Cidade de Assis,Prefeitura de Assis,≤100,12
194032184000941,Chico Rodrigues,Chico Rodrigues,≤100,5
193719533998484,Fundação Fernando Henrique Cardoso,Fundação FHC,≤100,10
391540320944905,Prefeitura de Uberlândia,Secretaria Municipal de Governo e Comunicação - SMGC,≤100,3
587065281989375,Topazio Neto,Topazio Silveira Neto,≤100,2
102313499063318,Serenas,Associação Serenas,≤100,2
780458271981477,Prefeitura de Gravataí,AD3Plus,≤100,6
695903437104290,Deputado Estadual Luiz Fernando,Luiz Fernando Teixeira Ferreira,≤100,16
366691953705757,Prefeitura Buritizeiro,Prefeitura de Buritizeiro,≤100,35
843727425704873,Dejorge Patricio,Dejorge Patricio Da Silva,≤100,1
231018984119082,Cris Monteiro,Cristina Pereira Monteiro,≤100,15
338601016235780,Capitão Wagner,Cap. Wagner,≤100,4
163893463708223,Marcelo Vitorino,IDP,≤100,31
465508674236677,Edmar Ptak,Edmar Ptak Guimaraes,≤100,4
742859855830690,IRELGOV,IRELGOV,≤100,3
290081184425295,Prefeitura De Balneário Piçarras,These ads ran without a disclaimer,≤100,1
1746222495610114,Prof. Karine Waldrich,Karine Waldrich,≤100,1
109591311961445,Brasil em Ruínas,Marco Aurelio Machado,≤100,1
2059469314104423,Coronel Henrique,Rodrigo Maximo,≤100,2
225628057522942,Colégio Marista Santo Ângelo,Colégio Marista Santo Ângelo,≤100,14
109789152161,Sou da Paz,Instituto Sou da Paz,≤100,6
1110881818972520,João Henrique Dentinho,Joao Henrique De Moraes Ramos,≤100,2
102885669040720,Blog Politicamente,Blog Politicamente,≤100,2
2009794945904424,Fundação Cargill,These ads ran without a disclaimer,≤100,1
569656233150986,Professor Toninho Vespoli,Toninho Vespoli,≤100,3
124463777940096,Roberto Costa,Jose Roberto Costa Santos,≤100,1
1385523878422010,Dr. Vicente Caropreso,Dr. Vicente Caropreso,≤100,3
174057619658043,Junior Mendonça,Angelo Bernardino de Mendonça Junior,≤100,2
1611963792244876,Ana Paula Siqueira,Ana Siqueira,≤100,2
132804480113814,PwC Brasil,PwC Brasil,≤100,1
225530987783302,Câmara Municipal de Foz do Iguaçu,Trade Comunicação e Marketing Eireli,≤100,10
110961014069786,Toninho Bernardes,Antonio Aparecido Bernardes Filho,≤100,11
1881753795404640,Prefeitura de Avaré,Prefeitura da Estância Turística de Avaré,≤100,3
1221955744599494,Walmir Pinto,Walmir Pinto,≤100,6
114057657982658,PSOLnasredes,Yuri Aaron Gomes Stipler,≤100,7
1445902932339519,Deputado Celinho,Celinho Sinttrocel,≤100,1
228158820563303,André do Prado,Andre Luis Do Prado,≤100,6
1751009021822715,Kleber Wan-Dall,Kleber Wan-Dall,≤100,7
100344766120531,Construnível Energias,Construnível Energias,≤100,7
724301607605853,Marista Aparecida,Colégio Marista Aparecida,≤100,16
238761896484083,Rosana Valle,Rosana Valle,≤100,6
108957532116064,bel.cred,These ads ran without a disclaimer,≤100,1
1374704836112883,Jovens Progressistas,PROGRESSISTAS - BRASIL - BR - NACIONAL,≤100,2
105125782197929,Capellato & Galvão Advocacia e Assessoria Jurídica,Capellato & Galvão Advocacia e Assessoria Jurídica,≤100,6
555803774486872,Marcio Bittar,Marcio Miguel Bittar,≤100,4
210467206143608,Portal de Prefeitura,Portal de prefeitura,≤100,12
1532755897054705,TV MAIS,TV MAIS MARICÁ,≤100,6
254869151343177,Mindmaster Treinamentos Ágeis,These ads ran without a disclaimer,≤100,1
272425403490751,Ana Paula Junqueira Leão,Ana Junqueira,≤100,1
106670505267397,O Diário da Capital,DIARIO DA CAPITAL PUBLICIDADE E COMUNICACAO LTDA,≤100,6
2109548659331951,Cursinho da Glória,Cursinho da Glória Eireli ME,≤100,8
1632845003624410,Lúcio Sorge,Lucio Sorge,≤100,14
115172553721431,Perfil Brasil,Grupo Perfil,≤100,5
187869627968575,Roberto Tripoli,Roberto Tripoli,≤100,10
742018955991675,Leonardo Dias,LEONARDO DA FONSECA DIAS,≤100,1
106308415121143,Politique - Detalhamento de Votos,PRATIC SERVIÇOS EM TECNOLOGIA DA INFORMAÇÃO LTDA,≤100,9
355911231202401,Luiz Antonio Medeiros,Luiz Antonio De Medeiros Neto,≤100,2
938599402898254,Maryanne Mattos,Maryanne Mattos,≤100,11
267683643272117,Edmilson Rodrigues,Edmilson Brito Rodrigues,≤100,1
