Page ID,Page name,Disclaimer,Amount spent (SEK),Number of ads in Library
276280366116172,Vänsterpartiet Kävlinge,Vänsterpartiet Kävlinge,195,2
267640803634611,Moderaterna i Västerbotten,Moderaterna i Västerbotten,194,1
341599100376,Brand,Brand,193,1
163305633746125,Karneval förlag,Holviks,189,3
109609604086656,Vejpkollen.se,Vejpkollen.se,188,2
110669306956915,Orättsstaten.se,Orättsstaten.se,187,2
257164037714257,Socialdemokraterna i Piteå,Socialdemokraterna i Piteå,186,2
150339891652630,Rönningepartiet,Anders Klerkefors,184,4
169905029701515,Trollhättans Stad,Trollhättans Stad,181,2
127063960674693,Svenska Freds- och Skiljedomsföreningen,Svenska Freds- och Skiljedomsföreningen,180,2
217897918243937,Socialdemokraterna i Värmdö,Julia Ekedahl,180,1
135062563176874,Utrikespolitiska Institutet,Utrikespolitiska Institutet,178,4
507299542640142,Liberalerna Sundbyberg,David Nyström,176,2
100253435575183,EPHI - Environment and Public Health Institute,Environment and Public Health Institute,175,3
324914190902686,Magasinet Paragraf,Magasinet Paragraf,171,2
328034740589662,Vänsterpartiet Eskilstuna,Vänsterpartiet Eskilstuna,169,1
237287320360804,Omtanke.today,Jenny Fors,168,4
180578795331360,Svenskt Näringsliv Blekinge,Svenskt Näringsliv,167,2
272041890388,Socialdemokraterna i Eskilstuna,Socialdemokraterna i Eskilstuna,165,3
132143480932,Nackamoderaterna,Nackamoderaterna,163,2
230671826970236,Uppsala konstmuseum,Uppsala kommun,163,4
540622546006901,Centerpartiet Nacka,Centerpartiet Nacka,161,1
1791189177563263,Sverigedemokraterna Södertälje,SD Södertälje/Nykvarn,159,1
669633683535832,Bosumhus - Från svenska skogar,These ads ran without a disclaimer,158,1
178362315106,European Parliament,European Parliament,157,4
262656093762675,Östersunds kommun - Staaren tjïelte,Östersunds kommun,156,2
590736644344351,Svenskt Näringsliv Jönköpings län,Svenskt Näringsliv,153,4
308075749348969,Svenskt Näringsliv Kronoberg,Svenskt Näringsliv,151,2
155120071294454,Socialdemokraterna i Varberg,Socialdemokraterna Varberg,149,1
1267325956645384,Bonzi,Bonzi,148,2
194996370654471,Assistanslotsen,Assistanslotsen,148,2
1754723951480332,Luleå Hamn,Luleå hamn,148,1
225975657531513,Moderaterna i Södertälje kommun,"Moderata Samlingspartiet, Södertäljekretsen",148,2
175843834306,WaterAid Sverige,WaterAid Sverige,147,4
505186329496364,Aktiv Assistans AB,Aktiv Assistans AB,147,2
313671265509,Tankesmedjan Tiden,Tankesmedjan Tiden,141,3
118162038224731,Moderaterna i Stockholms stad och län,Moderaterna i Stockholms stad och län,135,1
347852331958080,En Företagares Vardag,En Företagares Vardag,132,4
191784467622752,Kristdemokraterna Nacka,Martin Gunnesson,131,1
329452290816078,Tidningen Market,Tidningen Market,128,1
105051279529106,Kulturhuset Stadsteatern,Kulturhuset Stadsteatern,127,4
62185934430,Olof Palmes Internationella Center,Olof Palmes Internationella Center,127,5
183959274989548,Landsbygdsnätverket,Landsbygdsnätverket,125,2
1715208875382561,OP Assistans,OP Assistans,124,2
342952129133948,Kultur i Malmö,Kultur i Malmö,123,1
133148933394485,Socialdemokraterna i Malmö,Socialdemokraterna i Malmö,122,6
122512491125750,Ängelholms kommun,Ängelholms kommun,121,1
190164254402843,FKP Scorpio Sverige,FKP Scorpio Sverige,121,4
108300335887848,Österlenmoderaterna - Simrishamns kommun,Österlenmoderaterna,119,1
132397073455387,Socialdemokraterna i Österåker,Kristian Krassman,118,1
594864470559908,Transammans,Bartholdsson Geetha Amalia,118,2
137064659670161,Vänsterpartiet Uppsala,Vänsterpartiet Uppsala,118,3
17775970938,Cancerfonden,Cancerfonden,117,4
255288010153,Sida - Styrelsen för Internationellt Utvecklingssamarbete,Sida - Styrelsen för Internationellt Utvecklingssamarbete,116,1
534898423283520,Vänsterpartiet Norrköping,Vänsterpartiet Norrköping,114,1
766962160096580,Vi Omsorg i Sverige AB,Vi Omsorg i Sverige AB,111,2
1682793018671477,Socialdemokraterna i Kävlinge kommun,Kävlinge Arbetarekommun,110,1
138449739649621,Synskadades Riksförbund,Synskadades Riksförbund,109,2
105755296132267,Miljöpartiet de Gröna Ekerö,Miljöpartiet de gröna Ekerö,106,1
237863203023150,Vänsterpartiet Umeå,Vänsterpartiet Umeå,103,1
166934049354,Miljöpartiet de Gröna i Östergötland,Miljöpartiet i Östergötland,102,2
323156205347,Vänsterpartiet,Vänsterpartiet,101,11
624472544282852,Sverigedemokraterna Tyresö,Henrik Mellström,101,1
1383867568544212,Socialdemokraterna Falkenbergs kommun,Svensson Per Johan Klas,≤100,1
161686777385,Centerpartiet i Örnsköldsvik,Centerpartiet i Örnsköldsvik,≤100,3
310330762482786,Sara Kukka-Salam,Socialdemokraterna Solna,≤100,1
108878133830874,Grön flygplats,Projektet Grön Flygplats; finansierat av Svenska Regionala Flygplatser och Europeiska Regionala Utvecklingsfonden,≤100,6
1540294046226139,Feministsmeden,Feministsmeden,≤100,1
412192732132640,ECPAT Sverige,ECPAT Sverige,≤100,10
273402369438867,By Billgren,By Billgren AB,≤100,2
116412365039490,Socialdemokraterna i Västerbotten,Socialdemokraterna i Västerbotten,≤100,1
502392236527740,Socialdemokraterna i Vaggeryds kommun,Socialdemokraterna i Vaggeryds kommun,≤100,1
193309030695120,UR,UR,≤100,10
105172765831331,Vafa Sadat Farizani,Vafa Sadat Farizani,≤100,2
118424491641760,Naturskyddsföreningen Väst,Naturskyddsföreningen Väst,≤100,2
337086006951883,Jessica Polfjärd,Moderaterna,≤100,1
113710601984970,Barnfonden,Barnfonden,≤100,1
268608766607208,Svensk Tidskrift,Svensk Tidskrift,≤100,6
773867402653937,Torkild Strandberg,Torkild Strandberg,≤100,1
154313704727539,Rättighetscentrum Norrbotten - mot diskriminering,Rättighetscentrum Norrbotten,≤100,1
349041299054769,Kungl. Vetenskapsakademien,Kungl. Vetenskapsakademien,≤100,4
110813562940,Vision,Vision,≤100,1
253851994766681,Socialdemokraterna i Surahammars kommun,Socialdemokraterna i Surahammars Kommun,≤100,1
100394276688509,Halmstads kommun,Halmstads kommun,≤100,1
170519996379,Vänsterpartiet Malmö,Vänsterpartiet Malmö,≤100,1
102753343125301,Albatros Travel Sverige,These ads ran without a disclaimer,≤100,1
127757523931098,Emrahus AB,Emrahus AB,≤100,1
393959767360779,Sverigedemokraterna Region Skåne,Sverigedemokraterna Region Skåne,≤100,2
306507932750972,Socialdemokraterna i Uddevalla,Socialdemokraterna i Uddevalla,≤100,2
338366093200,Socialdemokraterna i Luleå,Socialdemokraterna i Luleå,≤100,2
341429539282770,Moderaterna i Falköping,Anders Winlöf,≤100,1
764893650241446,Equal -För ett jämlikt Stockholm,Equal,≤100,1
314283591054,Byggnads,Byggnads,≤100,8
183607788350923,Liberalerna Haninge,Liberalerna Haninge,≤100,3
103953609645359,SCB - Statistiska centralbyrån,Statistiska centralbyrån,≤100,6
341237002630986,Karlshamns kommun,Karlshamns kommun,≤100,1
324502111021396,Täbymoderaterna,Moderata Samlingspartiet i Täby,≤100,1
115317275164993,RFSU,These ads ran without a disclaimer,≤100,2
273269576169760,Socialdemokraterna i Oskarshamns kommun,Socialdemokraterna i Oskarshamn,≤100,3
152953178070559,Kommunistiska Partiet,Kommunistiska Partiet,≤100,2
197762513603868,MÄN,MÄN,≤100,2
882970465088842,Svenskt Näringsliv Kalmar län,Svenskt Näringsliv,≤100,1
120477444659925,Svensk Handel,Svensk Handel,≤100,1
212284955495610,Elektrikerna,Elektrikerna,≤100,1
301589756551823,Miljöpartiet Klippan,Miljöpartiet de gröna i Klippan,≤100,3
150820354221,"DIK - facket för kultur,  kommunikation och kreativ sektor",These ads ran without a disclaimer,≤100,1
352682608599,Vänsterpartiet Västerås,Vänsterpartiet,≤100,2
114360905256883,Ljungskile folkhögskola,These ads ran without a disclaimer,≤100,1
152085291138,Aktuellt i Politiken,Aktuellt i Politiken,≤100,1
150909028299502,Jernkontoret,Jernkontoret,≤100,5
268593563268202,Kristdemokraterna Tyresö,Kennerberg Leif Robert,≤100,2
435489349877161,Moderaterna i Östergötland,Moderaterna i Östergötland,≤100,2
735108653195373,Vänsterpartiet Haninge,Olofsson Lars-Johan Patrik,≤100,1
128452220525979,CIVIL RIGHTS DEFENDERS,CIVIL RIGHTS DEFENDERS,≤100,5
1978566042454891,Socialistiskt Alternativ Haninge,RS Haninge,≤100,1
294444197371898,Byggnads Skåne,Byggnads Skåne,≤100,1
1400334680268097,Nyheter i Västerbotten,Nyheter i Västerbotten,≤100,1
178042775588482,Reportrar utan gränser,Reportrar utan gränser,≤100,2
198991600145434,Svenskt Näringsliv Skåne,Svenskt Näringsliv Skåne,≤100,1
320527884686176,Vänsterpartiet Östersund,Vänsterpartiet Östersund,≤100,1
266083410123678,Moderaterna i Haninge,Moderaterna i Haninge,≤100,2
115358525182240,"Mattias Bernhardsson, Socialistiskt Alternativ",RS Haninge,≤100,1
101987352195270,AILÉ of Sweden,These ads ran without a disclaimer,≤100,1
794309503933311,Socialistiskt Alternativ Luleå,Karl Jonas Brännberg,≤100,1
250766161722636,Europa Direkt Halland,Europa Direkt Halland,≤100,1
94400267368,jagvillhabostad.nu,jagvillhabostad.nu,≤100,3
150820354221,"DIK - facket för kultur,  kommunikation och kreativ sektor",DIK,≤100,1
199453024965,Dalarna Science Park,Dalarna Science Park,≤100,1
449577235139576,Socialdemokraterna i Ljungby kommun,Socialdemokraterna i Ljungby kommun,≤100,1
636674963068916,Vänsterpartiet Sundsvall,Vänsterpartiet Sundsvall,≤100,1
568673053231402,Kristdemokraterna i Hässleholm,Kristdemokraterna i Hässleholm,≤100,1
1432591790382295,ByMartinsdotter,By Martinsdotter,≤100,9
237658639705704,Socialistiskt Alternativ,Rättvisepartiet Socialisterna,≤100,1
171919835807,TCO,TCO,≤100,1
753404261386015,Kristdemokraterna i Alingsås,Kristdemokraterna i Alingsås,≤100,1
212743882240652,Vänsterpartiet Örnsköldsvik,Vänsterpartiet Örnsköldsvik,≤100,1
207929195897857,Socialdemokraterna i Vallentuna,Socialdemokraterna i Vallentuna,≤100,1
210497735816344,Centerpartiet Kramfors kommun,Centerpartiet Kramfors,≤100,1
116551365038257,Vänsterpartiet Borås,Stefan Lindborg,≤100,1
234842993227024,Socialdemokraterna i Nacka,Socialdemokraterna i Nacka,≤100,2
114814873726506,ihuvudetpaenentreprenor,These ads ran without a disclaimer,≤100,1
102414309949126,Socialdemokraterna i Skåne,Socialdemokraterna i Skåne,≤100,1
1518274061818110,Liberalerna Askersund,Liberalerna Askersund,≤100,1
576490902395547,Vänsterpartiet Uddevalla,Vänsterpartiet Uddevalla,≤100,1
394687000597592,Barnombudet i Uppsala län - BOiU,Barnombudet i Uppsala län,≤100,1
127535893942048,Folkhögskolorna,Folkhögskolorna,≤100,1
177327255619338,Finspångs kommun,Finspångs kommun,≤100,1
121489607875162,Vänsterpartiet Växjö,Vänsterpartiet Växjö,≤100,1
150453111655854,Folkbildningsrådet,Elin Sundling,≤100,1
436023469767659,Centerpartiet i Norrtälje,Centerpartiet Norrtälje,≤100,1
1522679411362377,Lighthouse - Swedish Maritime RD&I collaboration platform,Lars Nicklason,≤100,1
144459582270252,UF Uppsala - The Association of Foreign Affairs,UF Uppsala - The Association of Foreign Affairs,≤100,1
1097619030278107,Moderaterna Lekeberg,Moderaterna Lekeberg,≤100,2
106459258633326,Vänsterpartiet Trelleborg,Vänsterpartiet Trelleborg,≤100,2
102948117803991,Kungliga Slottsboden,These ads ran without a disclaimer,≤100,1
115257524392599,Socialdemokraterna Vännäs,Socialdemokraterna i vännäs,≤100,1
407290589320311,ABF Örebro län,Mikael Runesson,≤100,2
1651611895071905,Agera Kvinnojour,Agera Kvinnojour,≤100,1
513520638755798,Vänsterpartiet Ystad,Brante Goran,≤100,3
272185502945519,Socialdemokraterna Landskrona,Jonas Esbjörnsson,≤100,1
513322965515580,Socialdemokraterna Kumla,Socialdemokraterna Kumla,≤100,2
101257185831267,Ulf Liljankoski - fritidspolitiker,Ulf Aarne Fredrik Hunter Liljankoski,≤100,4
100493669481596,Gränsland,These ads ran without a disclaimer,≤100,1
257888154669865,Conscia Sverige,Conscia Sverige AB,≤100,1
1504070149885840,Socialdemokraterna i Krokoms kommun,Krokoms socialdemokratiska arbetarekommun,≤100,1
162466473776556,Klimataktion,Klimataktion,≤100,3
165168156799,Göteborgs-Posten,Göteborgs-Posten,≤100,4
157426134878218,Bodens kommun,Bodens kommun,≤100,3
115795772512,Stadsbiblioteket i Malmö,Stadsbiblioteket i Malmö,≤100,1
146593541117,nwt.se,NWT Media AB,≤100,2
1401558216532453,Kristdemokraterna Laholm,Nilsson Jorgen Christian,≤100,1
1545369075688158,Brottsofferjouren Sverige,Brottsofferjouren Sverige,≤100,1
103312446472124,Socialdemokraterna i Mora,ANNA-CARIN NICE MATTSSON,≤100,1
1544485135838767,Svenskt Näringsliv Mellansverige,Svenskt Näringsliv Mellansverige,≤100,2
110218275686935,Vänsterpartiet Timrå,Vänsterpartiet Timrå,≤100,1
264426550246963,Kalmar fortsatt framåt - Socialdemokraterna i Kalmar,Kalmar Fortsatt Framåt - Socialdemokraterna i Kalmar,≤100,1
100154266829621,Kyrkans Tidning,Kyrkans Tidning,≤100,2
62044983625,The Amazing Society,The Amazing Society,≤100,2
2026492367623580,Kristdemokraterna Lomma Bjärred,Christer Philipson,≤100,1
45101268520,SSU,SSU,≤100,8
104504131846268,Dawit Isaak-biblioteket,Dawit Isaak-biblioteket,≤100,2
169488786434102,Moderaterna i Tyresö,Moderaterna i Tyresö,≤100,1
788657588008189,Moderaterna i Västerås,Moderata samlingspartiet i Västerås,≤100,3
300290481979,Södertälje kommun,Södertälje kommun,≤100,1
304929002856002,Miljöpartiet de gröna i Järfälla,Miljöpartiet de gröna i Järfälla,≤100,15
273254886116655,Motargument,Motargument,≤100,1
103304878446836,"Grön, liberal och hoppfull framtid - kampanjsida för David Hallgren",John David Hallgren,≤100,1
108304136037279,Moderaterna i Kävlinge,Moderaterna i Kävlinge,≤100,1
722853564439941,Gustav Hemming,Centerpartiet Region Stockholm,≤100,1
66732884076,Farhang.nu,Farhang.nu,≤100,2
76847196995,Göteborgs stadsbibliotek,Göteborgs stadsbibliotek,≤100,1
403554826503920,Vänskapsförbundet Sverige-Israel,Vänskapsförbundet Sverige-Israel,≤100,1
281677578658057,Socialdemokraterna i Trollhättan,Cathrin Boström,≤100,1
513322965515580,Socialdemokraterna Kumla,Veronica Ulfgren,≤100,2
101892981907234,Socialdemokraterna Strängnäs,These ads ran without a disclaimer,≤100,1
636064916466764,Vänsterpartiet Kramfors,Vänsterpartiet Kramfors,≤100,1
1494602434090797,Socialdemokraterna i Sotenäs,Therese Mancini,≤100,1
1553944598209170,Vänsterpartiet Alingsås,Vänterpartiet Alingsås,≤100,1
214714535294863,Moravänstern - Vänsterpartiet Mora,Jenny Isabelle Louise Larsson,≤100,1
100398852404706,Hans-Erik Beck - Moderat politiker,Hans-Erik Beck,≤100,1
302156023140090,Städa Sverige - Idrottens miljöorganisation,These ads ran without a disclaimer,≤100,1
173901972642378,Kristdemokraterna i Huddinge,Kristdemokraterna i Huddinge,≤100,2
375308860220,Socialdemokraterna i Timrå,Socialdemokraterna i Timrå,≤100,1
200168212690,Svenska Spanienfrivilligas vänner,Svenska Spanienfrivilligas Vänner,≤100,2
102451921606529,Kommunistiska Partiet Ludvika,Mattias Lindwall,≤100,4
110647840532680,Merge Mayor,These ads ran without a disclaimer,≤100,1
125113298313,Centerpartiet i Malmö,Centerpartiet i Malmö,≤100,4
732887920091032,Vänsterpartiet Helsingborg,Vänsterpartiet Helsingborg,≤100,2
108603445828840,Miljöpartiet de gröna i Linköping,Miljöpartiet i Linköping,≤100,1
108606768485583,Vuksan Rovčanin,Vuksan Rovcanin,≤100,2
1764178210476682,Vinovum,These ads ran without a disclaimer,≤100,1
951217261634608,Naturvårdsverket,Naturvårdsverket,≤100,1
157076904374898,ABF Stockholm,ABF Stockholm,≤100,1
386485284783972,Socialdemokraterna i Enköping,Socialdemokraterna i Enköping,≤100,1
112644953916525,Facklig Vänster,Vänsterpartiet,≤100,2
169961746503287,Lidingöpartiet - Grön skön ö.,Lidingöpartiet,≤100,1
107889157547905,Nooshi Dadgostar,Vänsterpartiet,≤100,1
1484959768492671,QTF Sweden AB,Hans Widell,≤100,1
378029865703169,Liberalerna Uppsala kommun,Liberalerna Uppsala kommun,≤100,2
1798175947119500,Epishine,Epishine,≤100,2
182726910344,Hela Sverige Ska Leva,Hela Sverige Ska Leva,≤100,1
1909176449301715,Svenskt Näringsliv Stockholms och Gotlands län,Svenskt Näringsliv,≤100,1
636176223070965,Socialdemokraterna i Tingsryds kommun,Socialdemokraterna i Tingsryds kommun,≤100,1
699733880123060,Tjejjouren i Lund - en transinkluderande jour,Tjejjouren i Lund,≤100,5
1230018870391467,Medborgerlig Samling Uppsala,Medborgerlig Samling Uppsala Län,≤100,1
793167577681326,Polylino SE,These ads ran without a disclaimer,≤100,1
103835119648706,Socialdemokraterna i Emmaboda,Jarkko Pekkala,≤100,1
467193996739598,Moderaterna i Strömsunds kommun,Carls Simon Elias Högberg,≤100,1
325336474611258,Centerpartiet Partille,Centerpartiet,≤100,1
107469805261099,Miljöpartiet de Gröna i Nynäshamn,Miljöpartiet de Gröna Nynäshamn,≤100,1
358016594293864,Socialdemokraterna Ystad,Martensson Hans Inge Marten,≤100,1
1329593773802412,TransferGo Polska,These ads ran without a disclaimer,≤100,1
496283363842454,Sverigedemokraterna Vänersborg,Sverigedemokraterna Vänersborg,≤100,1
305349186301095,Liberalerna Skellefteå,Liberalerna Skellefteå,≤100,1
624844364247833,Svenskt Näringsliv Värmland,Svenskt Näringsliv Värmland,≤100,1
169070486439169,Västerås stadsmission,Västerås stadsmission,≤100,1
293031380766852,Vänsterpartiet i EU,Vänsterpartiet i EU,≤100,2
250485248333218,Clean Air Task Force,These ads ran without a disclaimer,≤100,1
1416393591927234,Semcon,Semcon,≤100,1
108216678020301,CGH & Jobbfrågan,Svensk Jobbdemokrati,≤100,1
163317684305902,Vänsterpartiet Eksjö kommun,Vänsterpartiet i Eksjö kommun,≤100,1
103487509736810,Socialdemokraterna i  Gävleborg,Socialdemokraterna i  Gävleborg,≤100,1
585870261425027,Victoriateatern Malmö,These ads ran without a disclaimer,≤100,1
287880713020478,Rörelsen,Peter Gustavsson,≤100,7
265305087460,SEB Career,These ads ran without a disclaimer,≤100,1
1379292059067347,Länsstyrelsen Östergötland,These ads ran without a disclaimer,≤100,1
727972967261223,Sorundanet Nynäshamns kommunparti,Sorundanet Nynäshamns kommunparti,≤100,2
207890945895422,Jordens Vänner / Friends of the Earth Sweden,These ads ran without a disclaimer,≤100,1
101320658099429,Renoveringsraseriet,Renoveringsraseriet,≤100,1
1392761717630625,Bokförlaget Korpen,Bokförlaget Korpen,≤100,1
