Page ID,Page name,Disclaimer,Amount spent (INR),Number of ads in Library
116458781310492,Abhiram Singh,Abhiram Singh,3796,8
150106531736299,BJP West Bengal,Bharatiya Janata Party (BJP),3617,28
225469604484322,"GI Tagged - Geographical Indications, India",GiTAGGED,3473,3
148931718592314,Tarun Chugh,Adv Tech,3389,3
2249983818612505,Vennapusa Ravindra Reddy,Vennapusa Ravindra Reddy,3351,6
108366798238330,Haryana Affordable Housing Scheme,Arpit Mittal,3322,2
574079826086251,Phir Ek Baar Modi Sarkar,phirekbaarmodisarkar.com,3310,14
102112998968049,भाषण कला स्पेशल,Pavankumar Dadasaheb Jadhav,3266,2
105234459127980,Women Climate Collective,Women Climate Collective,3237,12
100196004828444,North Eastern Council,Sourabh Arvind Dubey,3232,21
102754365335887,Udhay Anna,Udhay Anna,3229,14
364476590604680,SuryaSamachar,Ajit Kumar,3206,23
1987488401557504,Mahathugbandhan - महाठगबंधन,Mahathugbandhan - महाठगबंधन,3196,15
1433526693616228,Himachali Rishta - हिमाचली रिश्ता डॉट कॉम,Himachali Rishta - हिमाचली रिश्ता डॉट कॉम,3137,3
531434090219534,Aam Aadmi Party Bangalore,Aam Aadmi Party Karnataka,3071,16
2131431707147401,AgriCentral,JIVA AGSERVICES PRIVATE LIMITED,3058,4
100475508592062,Sitaram Poswal,Bhagatsingh,3055,1
184278081698180,Ashok Gehlot,Ashok Gehlot,3048,1
102807256077988,G N Venugopal,White And Grey Media Solutions Pvt Ltd,3032,14
703726259672921,BJP Telangana,Bharatiya Janata Party (BJP),3011,35
100593012792684,Keerthan Kumar,Keerthan Kumar,3005,3
547354238619670,Dr. Ashwath Narayan,Vijay S,3004,1
318471954952040,Rajaram Meel,Raja Ram Meel,2970,1
1706371292942156,"Ministry of Development of North Eastern Region, Government of India","Ministry of Development of North Eastern Region, Government of India",2910,29
1559211387686845,Log 9 Materials,Log 9 Materials Scientific Private Limited,2847,5
411129449009589,K.C. Venugopal,K.C.Venugopal,2834,9
106863140858330,Munendra kumar,Eshwar Deepak,2788,8
111132015103321,K R Sridhara Reddy,K R Sridhara Reddy,2788,5
102565995507823,Kuldeep,Kuldeep,2714,4
105494724815217,Mahesh Sharma,Mahesh Sharma,2694,4
634229723611650,Yuva Galam,Showtime Consulting,2661,4
118227367824577,Garuda Aerospace Pvt Ltd,Garuda Aerospace Pvt Ltd,2649,4
426895610773497,The Logical Indian,Ankur Kumar,2634,13
114905439949088,Karuna Ashok Chandak,Coceptual Media,2632,26
1643791735841849,Save Earth Mission,Save Earth Mission,2583,4
1724487151134092,Vinod Patil,Vinod Patil,2581,5
155418314920954,Orchid HRD Trainings भाषणकला व राजकीय नेतृत्व कौशल्य प्रशिक्षण,Ganesh Subhashrao Lomte,2555,6
109076322510196,Saviour Education Abroad,Saviour Education Abroad OPC Pvt Ltd,2552,17
1785302198354679,Dr. Somendra Tomar,Somendra Singh,2548,11
953600271404690,BJP Meghalaya,Bharatiya Janata Party,2547,5
840235416065132,Yogesh Jankar - योगेश तातोबा जानकर,Rajaram Anant Parab,2542,1
105209472211637,Voice of Andhra,Voice of Andhra,2536,9
505327936635830,Ashok Chandak,Coceptual Media,2492,37
393768164105774,Parimal Nathwani,Parimal Nathwani,2385,1
104081559213118,Future Skills,These ads ran without a disclaimer,2333,2
100735178208398,Udyami India,Samadhan Samiti,2319,2
