Page ID,Page name,Disclaimer,Amount spent (RON),Number of ads in Library
101330708444591,Lazăr Ion Marian,Lazăr Ion Marian,≤100,1
107259714435039,Florin - Emanuel Dobria,Florin - Emanuel Dobria,≤100,2
1879863498923234,Transilvania365,Transilvania365,≤100,1
389883831183141,PNL Vâlcea,PNL Vâlcea,≤100,2
276092909160685,Eugen Țapu-Nazare,Branding Digital Strategy,≤100,1
101161965173287,Ropres.RO,Ropres.ro,≤100,6
360184320712594,Raluca Turcan,Partidul Naţional Liberal,≤100,3
526411640878009,USR Vaslui,USR Vaslui,≤100,1
137651470305528,Federația Patronală Petrol și Gaze,Federatia Patronală Petrol și Gaze,≤100,3
198657560278189,Asociația SPICC,Asociația SPICC,≤100,1
100576298460580,RMDSZ Udvarhelyszéki Szervezete,RMDSZ Udvarhelyszéki Szervezete,≤100,2
107236228539491,Ion Belu,Ion Belu,≤100,3
658514760921774,Pîrvu Sorin Adrian,Pîrvu Sorin Adrian,≤100,1
106177581286223,Vlad Mircea Pufu,PNL Buzău,≤100,1
1460571894265803,USR Sector 5,Uniunea Salvați România,≤100,1
100872245631464,AEM Holding,AEM Holding,≤100,2
108131401342424,Adrian Vigheciu,Adrian Vigheciu,≤100,1
1491544234239734,Forța Dreptei,Forta-Dreptei,≤100,2
100253672075886,Madalina Preda Lash Academy & Salon,These ads ran without a disclaimer,≤100,2
109402311584543,Forța Dreptei Sibiu,Forța Dreptei Sibiu,≤100,3
1029958020423567,Agro-Est Muntenia,Agro-Est,≤100,2
581389548564155,Asociația Necuvinte,Asociația Necuvinte,≤100,1
108654690750522,Claudiu Mureșan,Claudiu Mureșan,≤100,1
494469087244449,Eugen Tomac,Eugen Tomac,≤100,3
321896004518929,Ioan Mang,Ioan Mang,≤100,1
106543571883873,Forța Dreptei - București,Forța Dreptei - București,≤100,1
105131372029305,Forța Dreptei - Ilfov,Romanii Trebuie Sa Stie,≤100,2
103733982484790,Dragos Rusu,Dragos Rusu,≤100,1
100133305185624,Şerban Todorică-Constantin,Şerban Todorică-Constantin,≤100,1
101763692272709,Avocat Ciuchi Elena-Corina,Cabinet de Avocat CIUCHI Elena-Corina,≤100,6
1499267697060837,Orașul Teilor,Orașul Teilor,≤100,1
2064288360250441,Andres Speditions,ANDRES SPEDITIONS SRL,≤100,1
115034829895977,Reporter de Iași,Reporter de Iasi,≤100,1
1728821047350437,Adrian Ioan Veştea,Adrian Ioan Veştea,≤100,2
102991845063279,Criticii.RO,Criticii.ro,≤100,2
100169172537158,Forța Dreptei - Prahova,Forța Dreptei - Prahova,≤100,1
