Page ID,Page name,Disclaimer,Amount spent (PLN),Number of ads in Library
254609585192595,"Prof. Marek GZIK, Przewodniczący Sejmiku Województwa Śląskiego",Marek Gzik,≤100,1
173873282095,Forsal.pl,Forsal.pl,≤100,3
112417197179499,Paweł Kowalczyk - Radny Sejmiku Województwa Łódzkiego,Paweł Kowalczyk,≤100,1
1590841411198586,Iwona Michałek Poseł na Sejm RP,Iwona Michałek,≤100,2
392584911491318,"Ja, Nauczyciel","Fundacja Ja, Nauczyciel",≤100,1
110731291587098,Kiełpiński Konkretnie,Jacek Kiełpiński,≤100,10
104178558968972,Marcin Przydacz - wiceminister spraw zagranicznych,Marcin Przydacz,≤100,1
101876361512444,Krajowy Projekt Energetyczny - odnawialne źródła energii dla każdego,These ads ran without a disclaimer,≤100,1
996526287073317,Mateusz Jędrachowicz,Mateusz Paweł Jędrachowicz,≤100,2
112123064602862,Szczeliny,Wydawnictwo Otwarte sp. z o.o.,≤100,1
1837853109780758,Fundacja BOŚ,Fundacja BOŚ,≤100,31
124664090922112,"Wałbrzyska Specjalna Strefa Ekonomiczna ""INVEST-PARK""","Wałbrzyska Specjalna Strefa Ekonomiczna ""INVEST-PARK"" sp. z o.o.",≤100,1
102794171891144,ESKA Szczecin News,Grupa ZPR Media,≤100,1
173184660508,Centrum Myśli Jana Pawła II,Centrum Myśli Jana Pawła II,≤100,1
521739544515060,Dziennik Powiatowy,Krzysztof Przekop,≤100,3
102577288350341,Super Biznes,se.pl,≤100,1
857720897680878,TAKTO Finanse,Frank & Greg Sp. z o.o.,≤100,1
376660699164364,Rafał Komarewicz - Przewodniczący Rady Miasta Krakowa,Rafał Paweł Komarewicz,≤100,2
436513873457037,Adam Musiuk,Adam Musiuk,≤100,1
399527046922445,Przemysław Słowik,Przemysław Szczepan Słowik,≤100,1
107529825542388,facet_nie_skala,These ads ran without a disclaimer,≤100,1
1298855813504209,Akademia Księgowości,AKADEMIA KSIĘGOWOŚCI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,≤100,1
74863922834,Krytyka Polityczna,Krytyka Polityczna,≤100,2
199877710116314,Patryk Jaki,Patryk Jaki,≤100,1
150617698324166,Polska Fundacja im. Roberta Schumana,Polska Fundacja im. Roberta Schumana,≤100,2
552403594779327,Adam Snarski Burmistrz Leska,Adam Snarski,≤100,1
512326769238318,Urszula Koszutska - wiceprzewodnicząca Sejmiku Województwa  Śląskiego,Urszula Magdalena Koszutska,≤100,1
355335447987852,"Katarzyna Stachowicz - samorządowiec, działaczka społeczna",Katarzyna Karolina Stachowicz,≤100,1
147284671976535,Jak wygrać wybory? Praktycznie o kampaniach wyborczych,Jacek Babiel,≤100,4
108043501064374,Dzielna Ania walczy z SMA,Michał Franciszek Orłowski,≤100,1
187613920648,Mazowiecka Wspólnota Samorządowa,Mazowiecka Wspólnota Samorządowa,≤100,1
110318534479050,Ośrodek Monitorowania Zachowań Rasistowskich i Ksenofobicznych fundacja,Konrad Andrzej Dulkowski,≤100,1
990533821012595,Nierealnie,Nierealnie.pl,≤100,2
224827294233300,Żydowski Instytut Historyczny / Jewish Historical Institute,Żydowski Instytut Historyczny,≤100,2
285003478504209,Fundacja im. Janusza Kurtyki,Fundacja im. Janusza Kurtyki,≤100,1
110628809591185,Alan Wolny,Alan Wolny,≤100,4
127481713961466,Fundacja Sendzimira,These ads ran without a disclaimer,≤100,1
1546454742302867,Krzysztof Paszyk,Krzysztof Paszyk Polskie Stronnictwo Ludowe,≤100,1
731347520270813,Kamil Żbikowski - Lepsze Zabrze,Kamil Piotr Żbikowski,≤100,1
176136722487454,Videoparlament.pl,Videoparlament.pl,≤100,2
264923553554328,PANI,"Wydawnictwo Bauer sp. z o. o., Sp. j.",≤100,1
104981480987476,Bartłomiej Milaniuk - Dla Twoich Finansów,Bartłomiej Adrian Milaniuk,≤100,1
108494929216934,Marcin Kierwiński,Marcin Kierwiński,≤100,1
1824305601228429,Robert Tyszkiewicz,Robert Tyszkiewicz,≤100,1
185521642035581,Demokraci Ziemi Sanockiej,Marzena Ewa Dziurawiec,≤100,2
84072659617,Dom Spotkań z Historią,Dom Spotkań z Historią,≤100,2
141706212510407,Dom Aniołów Stróżów,Stowarzyszenie Pomocy Dzieciom i Młodzieży „Dom Aniołów Stróżów”,≤100,1
614275675366253,Marcin Krupa,Marcin Krupa,≤100,1
414402579093177,Paweł Kurek,Paweł Kurek,≤100,1
100967981267379,teczka_logopedy,These ads ran without a disclaimer,≤100,1
104782925572496,Okręgowa Izba Pielęgniarek i Położnych w Słupsku,Grzegorz Sikora,≤100,1
813355372354226,Śląska Opinia,Stian Media,≤100,1
100507332348221,Liberfor,Liberfor,≤100,1
280696342731,Ministerstwo Klimatu i Środowiska,Ministerstwo Klimatu i Środowiska,≤100,2
362682677158537,Michał Kowalski,Michał Kowalski - materiał nie stanowi elementu kampanii wyborczej,≤100,5
169913419732194,Michał Jaros,Michał Jaros,≤100,2
81885462442,Histmag.org,Histmag.org,≤100,2
1450927098465442,Kultura Równości,Kultura Równości,≤100,2
176619537364977,Grodno S.A.,Grodno S.A.,≤100,1
852871474902416,Tomasz Frączak,Tomasz Frączak,≤100,4
103211499025939,Relacje Adama Hreszczyka,Adam Hreszczyk,≤100,1
127619873953536,Stefczyk.info,Stefczyk.info,≤100,1
1473298819600286,Przemysław Ryś - Radny Miasta Gdańska z Przymorza i Zaspy.,Przemek Ryś,≤100,1
108105055507697,tiriwiritiriwiri,These ads ran without a disclaimer,≤100,1
112055027022643,Legal Marine,Legal Marine - Mateusz Romowicz,≤100,8
139576942808077,Telewizja Dami Region,Slawomir Tomasz Zieba,≤100,1
103978848055452,"Klub Radnych ""Wspólnie dla Lędzin""",Łukasz Kuczek,≤100,2
170090736374301,Tomasz Głogowski Poseł na Sejm RP,Tomasz Głogowski Poseł na Sejm RP,≤100,1
291839444209363,Polski Klub Ekologiczny Koło Miejskie w Gliwicach,"Polski Klub Ekologiczny w Krakowie, Koło Miejskie w Gliwicach",≤100,1
405326618416,Parlament Europejski - Biuro w Polsce,Parlament Europejski - Biuro w Polsce,≤100,1
101816168170960,Lotnisko Rakowice Czyżyny,Rafal Nowak,≤100,1
119638956091071,Zdzisław Smoliński,Zdzisław Smoliński,≤100,2
109363441951213,Forum Obywateli Wejherowa,Borys Szymański,≤100,2
776465829065987,Mateusz Maciejczyk Radny Miasta Rzeszowa,Mateusz Maciejczyk,≤100,1
106176985712518,pczatek78,These ads ran without a disclaimer,≤100,1
251031675591474,Dorota Zmarzlak - wójt gminy Izabelin,Dorota Zmarzlak,≤100,1
141990312513970,Paweł Kowal,Paweł Kowal,≤100,1
227713793026,Wydawnictwo WAM,These ads ran without a disclaimer,≤100,1
102947149063700,Fundacja Start Tango,Iwona Siekierska,≤100,1
105812734822457,Grzegorz Szczepański,Grzegorz Szczepański,≤100,2
118437553322377,Wejherowo - Miasto do Życia,Bartosz Łukasz Skwarło,≤100,2
806692002716904,Tavex,Tavex Sp. z o.o.,≤100,1
1573844362843308,ŁUKASZ CZECH,Łukasz Czech,≤100,1
104382365648491,Stowarzyszenie Zjednoczenie,Stowarzyszenie Zjednoczenie,≤100,2
705234266283291,Niepłodni Razem,Sylwia Bentkowska,≤100,1
442934059457276,Plodnosc.pl,Sylwia Bentkowska,≤100,1
