Page ID,Page name,Disclaimer,Amount spent (MXN),Number of ads in Library
420791471793845,BeGo,These ads ran without a disclaimer,≤100,1
165222107418758,Con Aroma de Café,José De Angel Lopez,≤100,3
100477186303619,Sentinela MX,Sentinela MX,≤100,1
102017942799056,Minuto Michoacán,Minuto Michoacán,≤100,1
1395331530725782,SEDUC Cam,SEDUC Cam,≤100,1
106246311267414,Valeria Cruz Armendariz,Nubia De La Rosa,≤100,2
465830880436743,"Confederación Revolucionaria de Trabajadores, CRT.","Confederación Revolucionaria de Trabajadores, CRT.",≤100,1
114723458303412,Fénix de Jojutla,Epifania Reyes Abarca,≤100,1
247297118731414,Eva María Vásquez Hernández,Eva Maria Vasquez Hernandez,≤100,1
21474437688,Deloitte,These ads ran without a disclaimer,≤100,1
106892552154385,Estrellita Fuentes,Jonathan Perez Palomares,≤100,1
172329302852861,Radar Político,Radar Político,≤100,1
2090033804550711,Elvira Romero,Elvira Romero Gutiérrez,≤100,1
304626466670084,Impacto Michoacán,Impacto Michoacán,≤100,1
660391554433548,Cristina Ibarra,Cristina Ibarra,≤100,1
105038951726217,Enrique Vega,All Comunicación,≤100,1
139972902682065,Manuel Doblado,Enrique Rubio Diaz,≤100,2
101491812946944,Préstamos personales Tabasco estatales y federales,These ads ran without a disclaimer,≤100,1
1390151721225988,Diputada Daniela Alvarez,Diputada Daniela Alvarez,≤100,2
1827849363900003,Reporte Huasteca,Reporte Huasteca,≤100,1
110433190536865,Colegio Universitario MIIB,Colegio Universitario MIIB,≤100,2
121810864676914,Periódico Enfoque,Enfoque EiM Noticias,≤100,2
1702792110034668,En la esquina del rincón.,Fernando Garcia Velazquez,≤100,1
559088967789286,Rosalba Valencia Cruz,Maria Fernanda Guadalupe Pérez Martinez,≤100,1
926952400656659,Román Cortés,Román Cortés,≤100,1
108596547197244,Omar Cervantes Rivera,Omar Cervantes Rivera,≤100,2
103054925995478,Daniel Montiel Cdmx,Daniel Montiel Luna,≤100,1
2015055852057477,Gobierno de Bahía de Banderas,Gobierno de Bahía de Banderas,≤100,1
107881552165656,Araceli Celestino,Araceli Celestino,≤100,1
215364542672368,Javier Cruz,Gonzalo Javier Cruz Sanchez,≤100,1
672958042838065,Sinaloa Somos Todos,David Trejo Vizcarra,≤100,2
136240676894192,Roberto Sosa Pichardo,Roberto Sosa Pichardo,≤100,1
100227116412043,José Miguel Jiménez Castillo,José Miguel Jiménez Castillo,≤100,1
671351789719351,Ricardo Medina Farfán,Ricardo Miguel Medina Farfan,≤100,1
295249932949,Universidad de Guanajuato,Universidad de Guanajuato,≤100,1
105801477887900,BDM Noticias,Jose Narciso Mejía Mendez,≤100,2
646746059117859,El Allendense,El Allendense,≤100,1
910268985780024,Municipios Durango,Municipios Durango,≤100,1
108876111941201,Verificado México,Verificado México,≤100,1
181815868495275,Noti Arandas,Grupo NotiArandas SA de CV,≤100,1
1587273468223028,Misaj Becerra,Misaj Gonzalez Becerra,≤100,1
293609415777501,Regidora Maru Castro,Regidora Maru Castro,≤100,1
111143017308411,Politicol,Politicol,≤100,1
965031250259633,Química Tarri,These ads ran without a disclaimer,≤100,1
834908749889110,Interdiario De Cuautla,Luis Pablo Carrillo Gallardo,≤100,2
631195260345898,Partido Verde Guerrero,Partido Verde Guerrero,≤100,1
122739050816193,Amigos de Rabin - Cuautla,Amigos de Rabin - Cuautla,≤100,1
127179196969893,La Puerta del Golfo,La Puerta del Golfo,≤100,1
143513225844753,Hugo Rangel Vargas,Hugo Ernesto Rangel Vargas,≤100,1
523908611353044,Reflector,REFLECTOR Agencia de Noticias,≤100,1
110608528641560,Periódico Córrela,Guillermo Hernández Zavala,≤100,1
366287743992291,Dr. Javier Nares,Transgender Surgery,≤100,3
106395931972477,Promotur Fideicomiso para el Fomento del Turismo,Promotur Fideicomiso para el Fomento del Turismo,≤100,1
164602116035,Cuautla Hoy,Cuautla Hoy,≤100,2
910384219086171,Nancy Gutiérrez,Nancy Gutiérrez,≤100,1
162385463852261,Daniela de los Santos,Daniela de los Santos,≤100,1
178794782212537,Roberto Cabrera Valencia,Roberto Cabrera Valencia,≤100,1
101179368433142,Manuel Alarcon,Manuel Alarcon,≤100,1
117378734710500,Cancun News Alerta,These ads ran without a disclaimer,≤100,1
1671800506463476,Elias Moreno Basaldua,Elias Enoc Moreno Basaldua,≤100,1
108941055559804,Todos somos Cancun Nuevo,Maria Jesus Cupul Salazar,≤100,1
1436546763266753,Dany Solís,Dany Solís,≤100,1
470124566409465,Jurgan Jacobo,These ads ran without a disclaimer,≤100,1
192496500872936,Contacto Hoy,Jorge Adrian Barraza Blanco,≤100,1
223258161579259,Ciclismo Valle del Mezquital AC,Huber Sanchez Reyna,≤100,1
232589084342553,Info-Red Coahuila,redmanager,≤100,2
507955652619358,3 Minutos Informa,3 Minutos Informa,≤100,2
113842657021916,Liliana Olea,Liliana Olea,≤100,1
144004352360461,Instituto Martín de Mayorga,These ads ran without a disclaimer,≤100,1
101134691707170,Fight The Lies,These ads ran without a disclaimer,≤100,1
100431071908734,La-Lista,DCS MEDIA & COMMUNICATIONS,≤100,1
111969565605071,Ríodoce,Ríodoce,≤100,1
779755298706214,Rocío González,Rocío González,≤100,1
1913129435632661,Talleres Gráficos De México,Maribel Aguilera Cháirez,≤100,1
1523140624565532,Luis Susarrey,Luis Alberto Susarrey Flores,≤100,2
102940334807800,"Dr. Ricardo Allende, Cardiólogo",These ads ran without a disclaimer,≤100,1
154922465076287,Bise Mxli,These ads ran without a disclaimer,≤100,1
730647227051487,"Carlos Rodríguez ""El Cuate""","Carlos Rodriguez ""El Cuate""",≤100,1
201599513204304,La Cruda Realidad Docente,La Cruda Realidad Docente,≤100,1
559260444586386,4Tamaulipas,4Tamaulipas,≤100,1
101008655199013,Juan Manuel Ramírez Velasco,Juan Manuel Ramírez Velasco,≤100,1
110176035319790,Si Por México - Ciudad Juárez,Si Por México - Ciudad Juárez,≤100,1
102841478808221,Juan Andrés Rodriguez,Juan Andres Rodriguez Ramirez,≤100,1
1394199960834828,Miguel Monraz,Miguel Angel Monraz Ibarra,≤100,2
815084088508730,Dr. Chilo Isidro Ovando,Isidro Ovando Medina,≤100,1
1776691465889906,Diario de Vallarta & Nayarit,María Karina Macías Aguirre,≤100,2
1878107562403856,Julio Moreno Parra,Julio Moreno,≤100,2
102914624686560,Viral Pedro Manuel Galarza,Pedro Manuel Gil Galarza,≤100,2
206415452736315,La Unión,La Unión de Morelos,≤100,3
1601849370075324,En Tamaulipas,En Tamaulipas,≤100,1
105688031046061,DNC-Capacitación Organizacional,These ads ran without a disclaimer,≤100,1
110730564872635,Julio Cesar de la Paz Consultoría,Julio De La Paz,≤100,1
1176628419094356,Navor Rojas,Cynthia Aylin Lopez Suárez,≤100,1
100619665161104,El Pulso de Tamaulipas,El Pulso de Tamaulipas,≤100,1
1254899527959888,No te olvides,NO TE OLVIDES,≤100,1
104393675499271,DATA VERSO Electoral,Francisco González Bonilla,≤100,1
101924738980276,Bachillerato en línea Unidev,Unidev Universidad SC,≤100,1
340945746414391,Angeles Gutiérrez Valdez,Maria De Los Angeles Gutierrez Valdez,≤100,1
101375582509907,Juan Barahona,These ads ran without a disclaimer,≤100,1
101477199206626,Reyes Torres Abogados,Reyes Torres Abogados,≤100,1
107699611185720,Víctor Alberto Gómez Palacios,Victor Alberto Palacio Gomez,≤100,1
152899112097527,Asociación Ciudadana Despertar Cívico,Video Político,≤100,1
100331765035004,Primera Persona Periódico Digital Durango,En Primera Persona Periodico Digital,≤100,1
514806198581524,Laura Ballesteros Mancilla,Laura Ballesteros Mancilla,≤100,1
